Code,Name,Geography,Metric,Category,Waiting Bands,Count
ENG,ENGLAND,ENGLAND,Age,0-18 Years,Unknown Clock Start,515
ENG,ENGLAND,ENGLAND,Age,0-18 Years,01 To 18 Weeks,460730
ENG,ENGLAND,ENGLAND,Age,0-18 Years,18 To 52 Weeks,293125
ENG,ENGLAND,ENGLAND,Age,0-18 Years,Over 52 Weeks,22645
ENG,ENGLAND,ENGLAND,Age,0-18 Years,Total,777015
ENG,ENGLAND,ENGLAND,Age,19-64 Years,Unknown Clock Start,3760
ENG,ENGLAND,ENGLAND,Age,19-64 Years,01 To 18 Weeks,2370280
ENG,ENGLAND,ENGLAND,Age,19-64 Years,18 To 52 Weeks,1582295
ENG,ENGLAND,ENGLAND,Age,19-64 Years,Over 52 Weeks,121780
ENG,ENGLAND,ENGLAND,Age,19-64 Years,Total,4078115
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,Unknown Clock Start,2480
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,01 To 18 Weeks,1537140
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,18 To 52 Weeks,822940
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,Over 52 Weeks,58275
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,Total,2420830
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,Unknown Clock Start,90
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,01 To 18 Weeks,168740
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,18 To 52 Weeks,79160
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,Over 52 Weeks,5310
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,Total,253305
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,Unknown Clock Start,5200
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,01 To 18 Weeks,3120215
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,18 To 52 Weeks,1893205
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,Over 52 Weeks,143680
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,Total,5162300
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,Unknown Clock Start,45
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,01 To 18 Weeks,26290
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,18 To 52 Weeks,15910
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,Over 52 Weeks,1075
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,Total,43315
ENG,ENGLAND,ENGLAND,Ethnicity,C: Any other white background,Unknown Clock Start,415
