Treatment Function Code,Metric,Category,Waiting Bands,Count
Cardiology Service,Age,0-18 Years,Unknown Clock Start,*
Cardiology Service,Age,0-18 Years,01 To 18 Weeks,4015
Cardiology Service,Age,0-18 Years,18 To 52 Weeks,2950
Cardiology Service,Age,0-18 Years,Over 52 Weeks,135
Cardiology Service,Age,0-18 Years,Total,7100
Cardiology Service,Age,19-64 Years,Unknown Clock Start,10
Cardiology Service,Age,19-64 Years,01 To 18 Weeks,112325
Cardiology Service,Age,19-64 Years,18 To 52 Weeks,76900
Cardiology Service,Age,19-64 Years,Over 52 Weeks,4040
Cardiology Service,Age,19-64 Years,Total,193270
Cardiology Service,Age,Over 65 Years,Unknown Clock Start,20
Cardiology Service,Age,Over 65 Years,01 To 18 Weeks,120115
Cardiology Service,Age,Over 65 Years,18 To 52 Weeks,68070
Cardiology Service,Age,Over 65 Years,Over 52 Weeks,3350
Cardiology Service,Age,Over 65 Years,Total,191555
Cardiology Service,Ethnicity,99: Not known,01 To 18 Weeks,9840
Cardiology Service,Ethnicity,99: Not known,18 To 52 Weeks,4785
Cardiology Service,Ethnicity,99: Not known,Over 52 Weeks,165
Cardiology Service,Ethnicity,99: Not known,Total,14790
Cardiology Service,Ethnicity,A: British,Unknown Clock Start,30
Cardiology Service,Ethnicity,A: British,01 To 18 Weeks,173355
Cardiology Service,Ethnicity,A: British,18 To 52 Weeks,106110
Cardiology Service,Ethnicity,A: British,Over 52 Weeks,5545
Cardiology Service,Ethnicity,A: British,Total,285040
Cardiology Service,Ethnicity,B: Irish,01 To 18 Weeks,1765
Cardiology Service,Ethnicity,B: Irish,18 To 52 Weeks,1085
Cardiology Service,Ethnicity,B: Irish,Over 52 Weeks,40
Cardiology Service,Ethnicity,B: Irish,Total,2890
Cardiology Service,Ethnicity,C: Any other white background,Unknown Clock Start,*
Cardiology Service,Ethnicity,C: Any other white background,01 To 18 Weeks,13620
Cardiology Service,Ethnicity,C: Any other white background,18 To 52 Weeks,9070
Cardiology Service,Ethnicity,C: Any other white background,Over 52 Weeks,355
Cardiology Service,Ethnicity,C: Any other white background,Total,23050
Cardiology Service,Ethnicity,D: White and Black Caribbean,01 To 18 Weeks,625
Cardiology Service,Ethnicity,D: White and Black Caribbean,18 To 52 Weeks,435
Cardiology Service,Ethnicity,D: White and Black Caribbean,Over 52 Weeks,20
Cardiology Service,Ethnicity,D: White and Black Caribbean,Total,1080
Cardiology Service,Ethnicity,E: White and Black African,Unknown Clock Start,*
Cardiology Service,Ethnicity,E: White and Black African,01 To 18 Weeks,390
Cardiology Service,Ethnicity,E: White and Black African,18 To 52 Weeks,255
Cardiology Service,Ethnicity,E: White and Black African,Over 52 Weeks,15
Cardiology Service,Ethnicity,E: White and Black African,Total,665
Cardiology Service,Ethnicity,F: White and Asian,01 To 18 Weeks,505
Cardiology Service,Ethnicity,F: White and Asian,18 To 52 Weeks,305
Cardiology Service,Ethnicity,F: White and Asian,Over 52 Weeks,15
Cardiology Service,Ethnicity,F: White and Asian,Total,830
Cardiology Service,Ethnicity,G: Any other mixed background,01 To 18 Weeks,1170
Cardiology Service,Ethnicity,G: Any other mixed background,18 To 52 Weeks,785
Cardiology Service,Ethnicity,G: Any other mixed background,Over 52 Weeks,45
Cardiology Service,Ethnicity,G: Any other mixed background,Total,2000
Cardiology Service,Ethnicity,H: Indian,01 To 18 Weeks,7035
Cardiology Service,Ethnicity,H: Indian,18 To 52 Weeks,4525
Cardiology Service,Ethnicity,H: Indian,Over 52 Weeks,315
Cardiology Service,Ethnicity,H: Indian,Total,11870
Cardiology Service,Ethnicity,J: Pakistani,01 To 18 Weeks,5040
Cardiology Service,Ethnicity,J: Pakistani,18 To 52 Weeks,3320
Cardiology Service,Ethnicity,J: Pakistani,Over 52 Weeks,120
Cardiology Service,Ethnicity,J: Pakistani,Total,8480
Cardiology Service,Ethnicity,K: Bangladeshi,01 To 18 Weeks,1980
