Code,Name,Geography,Metric,Category,Waiting Bands,Count
ENG,ENGLAND,ENGLAND,Age,0-18 Years,Unknown Clock Start,820
ENG,ENGLAND,ENGLAND,Age,0-18 Years,01 To 18 Weeks,429535
ENG,ENGLAND,ENGLAND,Age,0-18 Years,18 To 52 Weeks,280925
ENG,ENGLAND,ENGLAND,Age,0-18 Years,Over 52 Weeks,19055
ENG,ENGLAND,ENGLAND,Age,0-18 Years,Total,730335
ENG,ENGLAND,ENGLAND,Age,19-64 Years,Unknown Clock Start,4530
ENG,ENGLAND,ENGLAND,Age,19-64 Years,01 To 18 Weeks,2302235
ENG,ENGLAND,ENGLAND,Age,19-64 Years,18 To 52 Weeks,1543695
ENG,ENGLAND,ENGLAND,Age,19-64 Years,Over 52 Weeks,115660
ENG,ENGLAND,ENGLAND,Age,19-64 Years,Total,3966120
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,Unknown Clock Start,2985
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,01 To 18 Weeks,1504665
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,18 To 52 Weeks,809210
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,Over 52 Weeks,56835
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,Total,2373690
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,Unknown Clock Start,145
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,01 To 18 Weeks,168625
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,18 To 52 Weeks,78840
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,Over 52 Weeks,5220
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,Total,252830
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,Unknown Clock Start,6265
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,01 To 18 Weeks,3031660
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,18 To 52 Weeks,1856260
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,Over 52 Weeks,138305
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,Total,5032490
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,Unknown Clock Start,55
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,01 To 18 Weeks,24895
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,18 To 52 Weeks,14950
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,Over 52 Weeks,1005
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,Total,40905
ENG,ENGLAND,ENGLAND,Ethnicity,C: Any other white background,Unknown Clock Start,500
ENG,ENGLAND,ENGLAND,Ethnicity,C: Any other white background,01 To 18 Weeks,257440
ENG,ENGLAND,ENGLAND,Ethnicity,C: Any other white background,18 To 52 Weeks,174195
ENG,ENGLAND,ENGLAND,Ethnicity,C: Any other white background,Over 52 Weeks,11870
ENG,ENGLAND,ENGLAND,Ethnicity,C: Any other white background,Total,444010
ENG,ENGLAND,ENGLAND,Ethnicity,D: White and Black Caribbean,Unknown Clock Start,40
ENG,ENGLAND,ENGLAND,Ethnicity,D: White and Black Caribbean,01 To 18 Weeks,16970
ENG,ENGLAND,ENGLAND,Ethnicity,D: White and Black Caribbean,18 To 52 Weeks,11230
ENG,ENGLAND,ENGLAND,Ethnicity,D: White and Black Caribbean,Over 52 Weeks,780
ENG,ENGLAND,ENGLAND,Ethnicity,D: White and Black Caribbean,Total,29025
ENG,ENGLAND,ENGLAND,Ethnicity,E: White and Black African,Unknown Clock Start,20
ENG,ENGLAND,ENGLAND,Ethnicity,E: White and Black African,01 To 18 Weeks,9650
ENG,ENGLAND,ENGLAND,Ethnicity,E: White and Black African,18 To 52 Weeks,6160
ENG,ENGLAND,ENGLAND,Ethnicity,E: White and Black African,Over 52 Weeks,475
ENG,ENGLAND,ENGLAND,Ethnicity,E: White and Black African,Total,16305
ENG,ENGLAND,ENGLAND,Ethnicity,F: White and Asian,Unknown Clock Start,20
ENG,ENGLAND,ENGLAND,Ethnicity,F: White and Asian,01 To 18 Weeks,13740
ENG,ENGLAND,ENGLAND,Ethnicity,F: White and Asian,18 To 52 Weeks,8755
ENG,ENGLAND,ENGLAND,Ethnicity,F: White and Asian,Over 52 Weeks,670
ENG,ENGLAND,ENGLAND,Ethnicity,F: White and Asian,Total,23190
ENG,ENGLAND,ENGLAND,Ethnicity,G: Any other mixed background,Unknown Clock Start,80
ENG,ENGLAND,ENGLAND,Ethnicity,G: Any other mixed background,01 To 18 Weeks,33430
ENG,ENGLAND,ENGLAND,Ethnicity,G: Any other mixed background,18 To 52 Weeks,22085
ENG,ENGLAND,ENGLAND,Ethnicity,G: Any other mixed background,Over 52 Weeks,1535
ENG,ENGLAND,ENGLAND,Ethnicity,G: Any other mixed background,Total,57125
ENG,ENGLAND,ENGLAND,Ethnicity,H: Indian,Unknown Clock Start,165
ENG,ENGLAND,ENGLAND,Ethnicity,H: Indian,01 To 18 Weeks,119660
ENG,ENGLAND,ENGLAND,Ethnicity,H: Indian,18 To 52 Weeks,75330
ENG,ENGLAND,ENGLAND,Ethnicity,H: Indian,Over 52 Weeks,5025
ENG,ENGLAND,ENGLAND,Ethnicity,H: Indian,Total,200185
ENG,ENGLAND,ENGLAND,Ethnicity,J: Pakistani,Unknown Clock Start,100
ENG,ENGLAND,ENGLAND,Ethnicity,J: Pakistani,01 To 18 Weeks,97895
ENG,ENGLAND,ENGLAND,Ethnicity,J: Pakistani,18 To 52 Weeks,64180
ENG,ENGLAND,ENGLAND,Ethnicity,J: Pakistani,Over 52 Weeks,4390
ENG,ENGLAND,ENGLAND,Ethnicity,J: Pakistani,Total,166560
ENG,ENGLAND,ENGLAND,Ethnicity,K: Bangladeshi,Unknown Clock Start,25
ENG,ENGLAND,ENGLAND,Ethnicity,K: Bangladeshi,01 To 18 Weeks,40540
ENG,ENGLAND,ENGLAND,Ethnicity,K: Bangladeshi,18 To 52 Weeks,25850
ENG,ENGLAND,ENGLAND,Ethnicity,K: Bangladeshi,Over 52 Weeks,2045
ENG,ENGLAND,ENGLAND,Ethnicity,K: Bangladeshi,Total,68455
ENG,ENGLAND,ENGLAND,Ethnicity,L: Any other Asian background,Unknown Clock Start,240
ENG,ENGLAND,ENGLAND,Ethnicity,L: Any other Asian background,01 To 18 Weeks,93105
ENG,ENGLAND,ENGLAND,Ethnicity,L: Any other Asian background,18 To 52 Weeks,60430
ENG,ENGLAND,ENGLAND,Ethnicity,L: Any other Asian background,Over 52 Weeks,4005
ENG,ENGLAND,ENGLAND,Ethnicity,L: Any other Asian background,Total,157785
ENG,ENGLAND,ENGLAND,Ethnicity,M: Caribbean,Unknown Clock Start,65
ENG,ENGLAND,ENGLAND,Ethnicity,M: Caribbean,01 To 18 Weeks,51395
ENG,ENGLAND,ENGLAND,Ethnicity,M: Caribbean,18 To 52 Weeks,31405
ENG,ENGLAND,ENGLAND,Ethnicity,M: Caribbean,Over 52 Weeks,2160
ENG,ENGLAND,ENGLAND,Ethnicity,M: Caribbean,Total,85025
ENG,ENGLAND,ENGLAND,Ethnicity,N: African,Unknown Clock Start,115
ENG,ENGLAND,ENGLAND,Ethnicity,N: African,01 To 18 Weeks,86245
ENG,ENGLAND,ENGLAND,Ethnicity,N: African,18 To 52 Weeks,52895
ENG,ENGLAND,ENGLAND,Ethnicity,N: African,Over 52 Weeks,3985
ENG,ENGLAND,ENGLAND,Ethnicity,N: African,Total,143245
ENG,ENGLAND,ENGLAND,Ethnicity,P: Any other Black background,Unknown Clock Start,95
ENG,ENGLAND,ENGLAND,Ethnicity,P: Any other Black background,01 To 18 Weeks,40135
ENG,ENGLAND,ENGLAND,Ethnicity,P: Any other Black background,18 To 52 Weeks,24630
ENG,ENGLAND,ENGLAND,Ethnicity,P: Any other Black background,Over 52 Weeks,1740
ENG,ENGLAND,ENGLAND,Ethnicity,P: Any other Black background,Total,66595
ENG,ENGLAND,ENGLAND,Ethnicity,R: Chinese,Unknown Clock Start,40
ENG,ENGLAND,ENGLAND,Ethnicity,R: Chinese,01 To 18 Weeks,17050
ENG,ENGLAND,ENGLAND,Ethnicity,R: Chinese,18 To 52 Weeks,10300
ENG,ENGLAND,ENGLAND,Ethnicity,R: Chinese,Over 52 Weeks,715
ENG,ENGLAND,ENGLAND,Ethnicity,R: Chinese,Total,28105
ENG,ENGLAND,ENGLAND,Ethnicity,S: Any other ethnic group,Unknown Clock Start,100
ENG,ENGLAND,ENGLAND,Ethnicity,S: Any other ethnic group,01 To 18 Weeks,47490
ENG,ENGLAND,ENGLAND,Ethnicity,S: Any other ethnic group,18 To 52 Weeks,30620
ENG,ENGLAND,ENGLAND,Ethnicity,S: Any other ethnic group,Over 52 Weeks,1990
ENG,ENGLAND,ENGLAND,Ethnicity,S: Any other ethnic group,Total,80200
ENG,ENGLAND,ENGLAND,Ethnicity,Z: Not stated,Unknown Clock Start,380
ENG,ENGLAND,ENGLAND,Ethnicity,Z: Not stated,01 To 18 Weeks,191940
ENG,ENGLAND,ENGLAND,Ethnicity,Z: Not stated,18 To 52 Weeks,111750
ENG,ENGLAND,ENGLAND,Ethnicity,Z: Not stated,Over 52 Weeks,7655
ENG,ENGLAND,ENGLAND,Ethnicity,Z: Not stated,Total,311725
ENG,ENGLAND,ENGLAND,IMD,1,Unknown Clock Start,465
ENG,ENGLAND,ENGLAND,IMD,1,01 To 18 Weeks,413105
ENG,ENGLAND,ENGLAND,IMD,1,18 To 52 Weeks,260995
ENG,ENGLAND,ENGLAND,IMD,1,Over 52 Weeks,20145
ENG,ENGLAND,ENGLAND,IMD,1,Total,694715
ENG,ENGLAND,ENGLAND,IMD,10,Unknown Clock Start,1255
ENG,ENGLAND,ENGLAND,IMD,10,01 To 18 Weeks,376180
ENG,ENGLAND,ENGLAND,IMD,10,18 To 52 Weeks,227345
ENG,ENGLAND,ENGLAND,IMD,10,Over 52 Weeks,16095
ENG,ENGLAND,ENGLAND,IMD,10,Total,620880
ENG,ENGLAND,ENGLAND,IMD,2,Unknown Clock Start,555
ENG,ENGLAND,ENGLAND,IMD,2,01 To 18 Weeks,435305
ENG,ENGLAND,ENGLAND,IMD,2,18 To 52 Weeks,271620
ENG,ENGLAND,ENGLAND,IMD,2,Over 52 Weeks,19600
ENG,ENGLAND,ENGLAND,IMD,2,Total,727080
