Treatment Function Code,Metric,Category,Waiting Bands,Count
Cardiology Service,Age,0-18 Years,Unknown Clock Start,*
Cardiology Service,Age,0-18 Years,01 To 18 Weeks,3735
Cardiology Service,Age,0-18 Years,18 To 52 Weeks,2830
Cardiology Service,Age,0-18 Years,Over 52 Weeks,115
Cardiology Service,Age,0-18 Years,Total,6685
Cardiology Service,Age,19-64 Years,Unknown Clock Start,40
Cardiology Service,Age,19-64 Years,01 To 18 Weeks,108365
Cardiology Service,Age,19-64 Years,18 To 52 Weeks,74750
Cardiology Service,Age,19-64 Years,Over 52 Weeks,3755
Cardiology Service,Age,19-64 Years,Total,186915
Cardiology Service,Age,Over 65 Years,Unknown Clock Start,40
Cardiology Service,Age,Over 65 Years,01 To 18 Weeks,116550
Cardiology Service,Age,Over 65 Years,18 To 52 Weeks,67035
Cardiology Service,Age,Over 65 Years,Over 52 Weeks,3190
Cardiology Service,Age,Over 65 Years,Total,186815
Cardiology Service,Ethnicity,99: Not known,Unknown Clock Start,*
Cardiology Service,Ethnicity,99: Not known,01 To 18 Weeks,9725
Cardiology Service,Ethnicity,99: Not known,18 To 52 Weeks,4835
Cardiology Service,Ethnicity,99: Not known,Over 52 Weeks,165
Cardiology Service,Ethnicity,99: Not known,Total,14730
Cardiology Service,Ethnicity,A: British,Unknown Clock Start,75
Cardiology Service,Ethnicity,A: British,01 To 18 Weeks,168610
Cardiology Service,Ethnicity,A: British,18 To 52 Weeks,103870
Cardiology Service,Ethnicity,A: British,Over 52 Weeks,5330
Cardiology Service,Ethnicity,A: British,Total,277885
Cardiology Service,Ethnicity,B: Irish,01 To 18 Weeks,1635
Cardiology Service,Ethnicity,B: Irish,18 To 52 Weeks,990
Cardiology Service,Ethnicity,B: Irish,Over 52 Weeks,35
Cardiology Service,Ethnicity,B: Irish,Total,2660
Cardiology Service,Ethnicity,C: Any other white background,Unknown Clock Start,10
Cardiology Service,Ethnicity,C: Any other white background,01 To 18 Weeks,12815
Cardiology Service,Ethnicity,C: Any other white background,18 To 52 Weeks,9180
Cardiology Service,Ethnicity,C: Any other white background,Over 52 Weeks,355
Cardiology Service,Ethnicity,C: Any other white background,Total,22355
Cardiology Service,Ethnicity,D: White and Black Caribbean,Unknown Clock Start,*
Cardiology Service,Ethnicity,D: White and Black Caribbean,01 To 18 Weeks,605
Cardiology Service,Ethnicity,D: White and Black Caribbean,18 To 52 Weeks,415
Cardiology Service,Ethnicity,D: White and Black Caribbean,Over 52 Weeks,20
Cardiology Service,Ethnicity,D: White and Black Caribbean,Total,1045
Cardiology Service,Ethnicity,E: White and Black African,01 To 18 Weeks,395
Cardiology Service,Ethnicity,E: White and Black African,18 To 52 Weeks,235
Cardiology Service,Ethnicity,E: White and Black African,Over 52 Weeks,10
Cardiology Service,Ethnicity,E: White and Black African,Total,635
Cardiology Service,Ethnicity,F: White and Asian,01 To 18 Weeks,490
Cardiology Service,Ethnicity,F: White and Asian,18 To 52 Weeks,295
Cardiology Service,Ethnicity,F: White and Asian,Over 52 Weeks,15
Cardiology Service,Ethnicity,F: White and Asian,Total,800
Cardiology Service,Ethnicity,G: Any other mixed background,01 To 18 Weeks,1150
Cardiology Service,Ethnicity,G: Any other mixed background,18 To 52 Weeks,785
Cardiology Service,Ethnicity,G: Any other mixed background,Over 52 Weeks,35
Cardiology Service,Ethnicity,G: Any other mixed background,Total,1970
Cardiology Service,Ethnicity,H: Indian,Unknown Clock Start,*
Cardiology Service,Ethnicity,H: Indian,01 To 18 Weeks,6760
Cardiology Service,Ethnicity,H: Indian,18 To 52 Weeks,4410
Cardiology Service,Ethnicity,H: Indian,Over 52 Weeks,235
Cardiology Service,Ethnicity,H: Indian,Total,11405
Cardiology Service,Ethnicity,J: Pakistani,01 To 18 Weeks,4725
Cardiology Service,Ethnicity,J: Pakistani,18 To 52 Weeks,2960
Cardiology Service,Ethnicity,J: Pakistani,Over 52 Weeks,100
Cardiology Service,Ethnicity,J: Pakistani,Total,7785
Cardiology Service,Ethnicity,K: Bangladeshi,01 To 18 Weeks,1875
Cardiology Service,Ethnicity,K: Bangladeshi,18 To 52 Weeks,1100
Cardiology Service,Ethnicity,K: Bangladeshi,Over 52 Weeks,25
Cardiology Service,Ethnicity,K: Bangladeshi,Total,3005
Cardiology Service,Ethnicity,L: Any other Asian background,Unknown Clock Start,*
Cardiology Service,Ethnicity,L: Any other Asian background,01 To 18 Weeks,5040
Cardiology Service,Ethnicity,L: Any other Asian background,18 To 52 Weeks,3155
Cardiology Service,Ethnicity,L: Any other Asian background,Over 52 Weeks,135
