Code,Name,Geography,Metric,Category,Waiting Bands,Count
ENG,ENGLAND,ENGLAND,Age,0-18 Years,Unknown Clock Start,1445
ENG,ENGLAND,ENGLAND,Age,0-18 Years,01 To 18 Weeks,435795
ENG,ENGLAND,ENGLAND,Age,0-18 Years,18 To 52 Weeks,298765
ENG,ENGLAND,ENGLAND,Age,0-18 Years,Over 52 Weeks,19825
ENG,ENGLAND,ENGLAND,Age,0-18 Years,Total,755835
ENG,ENGLAND,ENGLAND,Age,19-64 Years,Unknown Clock Start,7580
ENG,ENGLAND,ENGLAND,Age,19-64 Years,01 To 18 Weeks,2365100
ENG,ENGLAND,ENGLAND,Age,19-64 Years,18 To 52 Weeks,1588130
ENG,ENGLAND,ENGLAND,Age,19-64 Years,Over 52 Weeks,117615
ENG,ENGLAND,ENGLAND,Age,19-64 Years,Total,4078425
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,Unknown Clock Start,4790
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,01 To 18 Weeks,1551155
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,18 To 52 Weeks,829720
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,Over 52 Weeks,56975
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,Total,2442635
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,Unknown Clock Start,480
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,01 To 18 Weeks,168735
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,18 To 52 Weeks,77955
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,Over 52 Weeks,5145
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,Total,252320
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,Unknown Clock Start,9150
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,01 To 18 Weeks,3107565
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,18 To 52 Weeks,1907390
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,Over 52 Weeks,140335
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,Total,5164435
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,Unknown Clock Start,115
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,01 To 18 Weeks,26050
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,18 To 52 Weeks,15685
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,Over 52 Weeks,1025
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,Total,42875
ENG,ENGLAND,ENGLAND,Ethnicity,C: Any other white background,Unknown Clock Start,870
ENG,ENGLAND,ENGLAND,Ethnicity,C: Any other white background,01 To 18 Weeks,260150
ENG,ENGLAND,ENGLAND,Ethnicity,C: Any other white background,18 To 52 Weeks,176570
ENG,ENGLAND,ENGLAND,Ethnicity,C: Any other white background,Over 52 Weeks,11980
ENG,ENGLAND,ENGLAND,Ethnicity,C: Any other white background,Total,449570
ENG,ENGLAND,ENGLAND,Ethnicity,D: White and Black Caribbean,Unknown Clock Start,65
ENG,ENGLAND,ENGLAND,Ethnicity,D: White and Black Caribbean,01 To 18 Weeks,17285
ENG,ENGLAND,ENGLAND,Ethnicity,D: White and Black Caribbean,18 To 52 Weeks,12050
ENG,ENGLAND,ENGLAND,Ethnicity,D: White and Black Caribbean,Over 52 Weeks,770
ENG,ENGLAND,ENGLAND,Ethnicity,D: White and Black Caribbean,Total,30170
ENG,ENGLAND,ENGLAND,Ethnicity,E: White and Black African,Unknown Clock Start,20
ENG,ENGLAND,ENGLAND,Ethnicity,E: White and Black African,01 To 18 Weeks,10105
ENG,ENGLAND,ENGLAND,Ethnicity,E: White and Black African,18 To 52 Weeks,6475
ENG,ENGLAND,ENGLAND,Ethnicity,E: White and Black African,Over 52 Weeks,475
ENG,ENGLAND,ENGLAND,Ethnicity,E: White and Black African,Total,17080
ENG,ENGLAND,ENGLAND,Ethnicity,F: White and Asian,Unknown Clock Start,55
ENG,ENGLAND,ENGLAND,Ethnicity,F: White and Asian,01 To 18 Weeks,14100
ENG,ENGLAND,ENGLAND,Ethnicity,F: White and Asian,18 To 52 Weeks,9280
ENG,ENGLAND,ENGLAND,Ethnicity,F: White and Asian,Over 52 Weeks,650
ENG,ENGLAND,ENGLAND,Ethnicity,F: White and Asian,Total,24080
ENG,ENGLAND,ENGLAND,Ethnicity,G: Any other mixed background,Unknown Clock Start,130
ENG,ENGLAND,ENGLAND,Ethnicity,G: Any other mixed background,01 To 18 Weeks,34290
ENG,ENGLAND,ENGLAND,Ethnicity,G: Any other mixed background,18 To 52 Weeks,23210
ENG,ENGLAND,ENGLAND,Ethnicity,G: Any other mixed background,Over 52 Weeks,1620
ENG,ENGLAND,ENGLAND,Ethnicity,G: Any other mixed background,Total,59250
ENG,ENGLAND,ENGLAND,Ethnicity,H: Indian,Unknown Clock Start,330
ENG,ENGLAND,ENGLAND,Ethnicity,H: Indian,01 To 18 Weeks,122270
ENG,ENGLAND,ENGLAND,Ethnicity,H: Indian,18 To 52 Weeks,77530
ENG,ENGLAND,ENGLAND,Ethnicity,H: Indian,Over 52 Weeks,5035
ENG,ENGLAND,ENGLAND,Ethnicity,H: Indian,Total,205165
ENG,ENGLAND,ENGLAND,Ethnicity,J: Pakistani,Unknown Clock Start,665
ENG,ENGLAND,ENGLAND,Ethnicity,J: Pakistani,01 To 18 Weeks,106475
ENG,ENGLAND,ENGLAND,Ethnicity,J: Pakistani,18 To 52 Weeks,71265
ENG,ENGLAND,ENGLAND,Ethnicity,J: Pakistani,Over 52 Weeks,4715
ENG,ENGLAND,ENGLAND,Ethnicity,J: Pakistani,Total,183115
ENG,ENGLAND,ENGLAND,Ethnicity,K: Bangladeshi,Unknown Clock Start,235
ENG,ENGLAND,ENGLAND,Ethnicity,K: Bangladeshi,01 To 18 Weeks,41690
ENG,ENGLAND,ENGLAND,Ethnicity,K: Bangladeshi,18 To 52 Weeks,26935
ENG,ENGLAND,ENGLAND,Ethnicity,K: Bangladeshi,Over 52 Weeks,1915
ENG,ENGLAND,ENGLAND,Ethnicity,K: Bangladeshi,Total,70770
ENG,ENGLAND,ENGLAND,Ethnicity,L: Any other Asian background,Unknown Clock Start,445
ENG,ENGLAND,ENGLAND,Ethnicity,L: Any other Asian background,01 To 18 Weeks,95595
ENG,ENGLAND,ENGLAND,Ethnicity,L: Any other Asian background,18 To 52 Weeks,62785
ENG,ENGLAND,ENGLAND,Ethnicity,L: Any other Asian background,Over 52 Weeks,4060
ENG,ENGLAND,ENGLAND,Ethnicity,L: Any other Asian background,Total,162890
ENG,ENGLAND,ENGLAND,Ethnicity,M: Caribbean,Unknown Clock Start,190
ENG,ENGLAND,ENGLAND,Ethnicity,M: Caribbean,01 To 18 Weeks,52535
ENG,ENGLAND,ENGLAND,Ethnicity,M: Caribbean,18 To 52 Weeks,32310
ENG,ENGLAND,ENGLAND,Ethnicity,M: Caribbean,Over 52 Weeks,2160
ENG,ENGLAND,ENGLAND,Ethnicity,M: Caribbean,Total,87200
ENG,ENGLAND,ENGLAND,Ethnicity,N: African,Unknown Clock Start,285
