Treatment Function Code,Metric,Category,Waiting Bands,Count
Cardiology Service,Age,0-18 Years,Unknown Clock Start,*
Cardiology Service,Age,0-18 Years,01 To 18 Weeks,4030
Cardiology Service,Age,0-18 Years,18 To 52 Weeks,2875
Cardiology Service,Age,0-18 Years,Over 52 Weeks,135
Cardiology Service,Age,0-18 Years,Total,7050
Cardiology Service,Age,19-64 Years,Unknown Clock Start,195
Cardiology Service,Age,19-64 Years,01 To 18 Weeks,112695
Cardiology Service,Age,19-64 Years,18 To 52 Weeks,76180
Cardiology Service,Age,19-64 Years,Over 52 Weeks,4030
Cardiology Service,Age,19-64 Years,Total,193100
Cardiology Service,Age,Over 65 Years,Unknown Clock Start,165
Cardiology Service,Age,Over 65 Years,01 To 18 Weeks,119530
Cardiology Service,Age,Over 65 Years,18 To 52 Weeks,68630
Cardiology Service,Age,Over 65 Years,Over 52 Weeks,3355
Cardiology Service,Age,Over 65 Years,Total,191675
Cardiology Service,Ethnicity,99: Not known,Unknown Clock Start,20
Cardiology Service,Ethnicity,99: Not known,01 To 18 Weeks,9765
Cardiology Service,Ethnicity,99: Not known,18 To 52 Weeks,4595
Cardiology Service,Ethnicity,99: Not known,Over 52 Weeks,210
Cardiology Service,Ethnicity,99: Not known,Total,14590
Cardiology Service,Ethnicity,A: British,Unknown Clock Start,215
Cardiology Service,Ethnicity,A: British,01 To 18 Weeks,173135
Cardiology Service,Ethnicity,A: British,18 To 52 Weeks,106500
Cardiology Service,Ethnicity,A: British,Over 52 Weeks,5555
Cardiology Service,Ethnicity,A: British,Total,285410
Cardiology Service,Ethnicity,B: Irish,Unknown Clock Start,10
Cardiology Service,Ethnicity,B: Irish,01 To 18 Weeks,1715
Cardiology Service,Ethnicity,B: Irish,18 To 52 Weeks,1070
Cardiology Service,Ethnicity,B: Irish,Over 52 Weeks,35
Cardiology Service,Ethnicity,B: Irish,Total,2830
Cardiology Service,Ethnicity,C: Any other white background,Unknown Clock Start,20
Cardiology Service,Ethnicity,C: Any other white background,01 To 18 Weeks,13100
Cardiology Service,Ethnicity,C: Any other white background,18 To 52 Weeks,9285
Cardiology Service,Ethnicity,C: Any other white background,Over 52 Weeks,365
Cardiology Service,Ethnicity,C: Any other white background,Total,22770
Cardiology Service,Ethnicity,D: White and Black Caribbean,01 To 18 Weeks,620
Cardiology Service,Ethnicity,D: White and Black Caribbean,18 To 52 Weeks,415
Cardiology Service,Ethnicity,D: White and Black Caribbean,Over 52 Weeks,30
Cardiology Service,Ethnicity,D: White and Black Caribbean,Total,1060
Cardiology Service,Ethnicity,E: White and Black African,Unknown Clock Start,*
Cardiology Service,Ethnicity,E: White and Black African,01 To 18 Weeks,430
Cardiology Service,Ethnicity,E: White and Black African,18 To 52 Weeks,245
Cardiology Service,Ethnicity,E: White and Black African,Over 52 Weeks,10
Cardiology Service,Ethnicity,E: White and Black African,Total,685
Cardiology Service,Ethnicity,F: White and Asian,Unknown Clock Start,*
Cardiology Service,Ethnicity,F: White and Asian,01 To 18 Weeks,550
Cardiology Service,Ethnicity,F: White and Asian,18 To 52 Weeks,300
Cardiology Service,Ethnicity,F: White and Asian,Over 52 Weeks,20
Cardiology Service,Ethnicity,F: White and Asian,Total,870
Cardiology Service,Ethnicity,G: Any other mixed background,Unknown Clock Start,*
Cardiology Service,Ethnicity,G: Any other mixed background,01 To 18 Weeks,1250
Cardiology Service,Ethnicity,G: Any other mixed background,18 To 52 Weeks,820
Cardiology Service,Ethnicity,G: Any other mixed background,Over 52 Weeks,35
Cardiology Service,Ethnicity,G: Any other mixed background,Total,2110
Cardiology Service,Ethnicity,H: Indian,Unknown Clock Start,10
Cardiology Service,Ethnicity,H: Indian,01 To 18 Weeks,7195
Cardiology Service,Ethnicity,H: Indian,18 To 52 Weeks,4360
Cardiology Service,Ethnicity,H: Indian,Over 52 Weeks,235
Cardiology Service,Ethnicity,H: Indian,Total,11800
Cardiology Service,Ethnicity,J: Pakistani,Unknown Clock Start,35
Cardiology Service,Ethnicity,J: Pakistani,01 To 18 Weeks,5280
Cardiology Service,Ethnicity,J: Pakistani,18 To 52 Weeks,3170
Cardiology Service,Ethnicity,J: Pakistani,Over 52 Weeks,155
Cardiology Service,Ethnicity,J: Pakistani,Total,8635
Cardiology Service,Ethnicity,K: Bangladeshi,Unknown Clock Start,10
Cardiology Service,Ethnicity,K: Bangladeshi,01 To 18 Weeks,1980
Cardiology Service,Ethnicity,K: Bangladeshi,18 To 52 Weeks,1080
Cardiology Service,Ethnicity,K: Bangladeshi,Over 52 Weeks,40
Cardiology Service,Ethnicity,K: Bangladeshi,Total,3115
Cardiology Service,Ethnicity,L: Any other Asian background,Unknown Clock Start,15
Cardiology Service,Ethnicity,L: Any other Asian background,01 To 18 Weeks,5410
Cardiology Service,Ethnicity,L: Any other Asian background,18 To 52 Weeks,3145
Cardiology Service,Ethnicity,L: Any other Asian background,Over 52 Weeks,150
Cardiology Service,Ethnicity,L: Any other Asian background,Total,8720
Cardiology Service,Ethnicity,M: Caribbean,Unknown Clock Start,*
Cardiology Service,Ethnicity,M: Caribbean,01 To 18 Weeks,2800
Cardiology Service,Ethnicity,M: Caribbean,18 To 52 Weeks,1840
Cardiology Service,Ethnicity,M: Caribbean,Over 52 Weeks,90
Cardiology Service,Ethnicity,M: Caribbean,Total,4735
Cardiology Service,Ethnicity,N: African,Unknown Clock Start,15
Cardiology Service,Ethnicity,N: African,01 To 18 Weeks,4095
