Code,Name,Geography,Metric,Category,Waiting Bands,Count
ENG,ENGLAND,ENGLAND,Age,0-18 Years,Unknown Clock Start,965
ENG,ENGLAND,ENGLAND,Age,0-18 Years,01 To 18 Weeks,420080
ENG,ENGLAND,ENGLAND,Age,0-18 Years,18 To 52 Weeks,281700
ENG,ENGLAND,ENGLAND,Age,0-18 Years,Over 52 Weeks,17895
ENG,ENGLAND,ENGLAND,Age,0-18 Years,Total,720640
ENG,ENGLAND,ENGLAND,Age,19-64 Years,Unknown Clock Start,5180
ENG,ENGLAND,ENGLAND,Age,19-64 Years,01 To 18 Weeks,2343915
ENG,ENGLAND,ENGLAND,Age,19-64 Years,18 To 52 Weeks,1526030
ENG,ENGLAND,ENGLAND,Age,19-64 Years,Over 52 Weeks,109485
ENG,ENGLAND,ENGLAND,Age,19-64 Years,Total,3984615
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,Unknown Clock Start,3875
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,01 To 18 Weeks,1530705
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,18 To 52 Weeks,798845
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,Over 52 Weeks,52255
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,Total,2385680
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,Unknown Clock Start,1680
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,01 To 18 Weeks,155160
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,18 To 52 Weeks,76020
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,Over 52 Weeks,4845
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,Total,237705
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,Unknown Clock Start,13860
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,01 To 18 Weeks,3056725
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,18 To 52 Weeks,1821120
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,Over 52 Weeks,129780
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,Total,5021485
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,Unknown Clock Start,115
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,01 To 18 Weeks,26180
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,18 To 52 Weeks,15130
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,Over 52 Weeks,980
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,Total,42405
ENG,ENGLAND,ENGLAND,Ethnicity,C: Any other white background,Unknown Clock Start,945
ENG,ENGLAND,ENGLAND,Ethnicity,C: Any other white background,01 To 18 Weeks,261345
ENG,ENGLAND,ENGLAND,Ethnicity,C: Any other white background,18 To 52 Weeks,171600
ENG,ENGLAND,ENGLAND,Ethnicity,C: Any other white background,Over 52 Weeks,11390
ENG,ENGLAND,ENGLAND,Ethnicity,C: Any other white background,Total,445275
ENG,ENGLAND,ENGLAND,Ethnicity,D: White and Black Caribbean,Unknown Clock Start,105
ENG,ENGLAND,ENGLAND,Ethnicity,D: White and Black Caribbean,01 To 18 Weeks,17225
ENG,ENGLAND,ENGLAND,Ethnicity,D: White and Black Caribbean,18 To 52 Weeks,11665
ENG,ENGLAND,ENGLAND,Ethnicity,D: White and Black Caribbean,Over 52 Weeks,705
ENG,ENGLAND,ENGLAND,Ethnicity,D: White and Black Caribbean,Total,29700
ENG,ENGLAND,ENGLAND,Ethnicity,E: White and Black African,Unknown Clock Start,35
ENG,ENGLAND,ENGLAND,Ethnicity,E: White and Black African,01 To 18 Weeks,10055
ENG,ENGLAND,ENGLAND,Ethnicity,E: White and Black African,18 To 52 Weeks,6380
ENG,ENGLAND,ENGLAND,Ethnicity,E: White and Black African,Over 52 Weeks,410
ENG,ENGLAND,ENGLAND,Ethnicity,E: White and Black African,Total,16885
