Treatment Function Code,Metric,Category,Waiting Bands,Count
Cardiology Service,Age,0-18 Years,Unknown Clock Start,*
Cardiology Service,Age,0-18 Years,01 To 18 Weeks,4075
Cardiology Service,Age,0-18 Years,18 To 52 Weeks,2720
Cardiology Service,Age,0-18 Years,Over 52 Weeks,150
Cardiology Service,Age,0-18 Years,Total,6950
Cardiology Service,Age,19-64 Years,Unknown Clock Start,90
Cardiology Service,Age,19-64 Years,01 To 18 Weeks,113595
Cardiology Service,Age,19-64 Years,18 To 52 Weeks,72755
Cardiology Service,Age,19-64 Years,Over 52 Weeks,3885
Cardiology Service,Age,19-64 Years,Total,190320
Cardiology Service,Age,Over 65 Years,Unknown Clock Start,100
Cardiology Service,Age,Over 65 Years,01 To 18 Weeks,118750
Cardiology Service,Age,Over 65 Years,18 To 52 Weeks,66085
Cardiology Service,Age,Over 65 Years,Over 52 Weeks,3175
Cardiology Service,Age,Over 65 Years,Total,188110
Cardiology Service,Ethnicity,99: Not known,Unknown Clock Start,*
Cardiology Service,Ethnicity,99: Not known,01 To 18 Weeks,9020
Cardiology Service,Ethnicity,99: Not known,18 To 52 Weeks,3935
Cardiology Service,Ethnicity,99: Not known,Over 52 Weeks,190
Cardiology Service,Ethnicity,99: Not known,Total,13145
Cardiology Service,Ethnicity,A: British,Unknown Clock Start,145
Cardiology Service,Ethnicity,A: British,01 To 18 Weeks,172235
Cardiology Service,Ethnicity,A: British,18 To 52 Weeks,101505
Cardiology Service,Ethnicity,A: British,Over 52 Weeks,5375
Cardiology Service,Ethnicity,A: British,Total,279260
Cardiology Service,Ethnicity,B: Irish,Unknown Clock Start,*
Cardiology Service,Ethnicity,B: Irish,01 To 18 Weeks,1770
Cardiology Service,Ethnicity,B: Irish,18 To 52 Weeks,1035
Cardiology Service,Ethnicity,B: Irish,Over 52 Weeks,40
Cardiology Service,Ethnicity,B: Irish,Total,2850
Cardiology Service,Ethnicity,C: Any other white background,Unknown Clock Start,10
Cardiology Service,Ethnicity,C: Any other white background,01 To 18 Weeks,13305
Cardiology Service,Ethnicity,C: Any other white background,18 To 52 Weeks,9015
Cardiology Service,Ethnicity,C: Any other white background,Over 52 Weeks,375
Cardiology Service,Ethnicity,C: Any other white background,Total,22710
Cardiology Service,Ethnicity,D: White and Black Caribbean,Unknown Clock Start,*
Cardiology Service,Ethnicity,D: White and Black Caribbean,01 To 18 Weeks,630
Cardiology Service,Ethnicity,D: White and Black Caribbean,18 To 52 Weeks,405
Cardiology Service,Ethnicity,D: White and Black Caribbean,Over 52 Weeks,20
Cardiology Service,Ethnicity,D: White and Black Caribbean,Total,1055
Cardiology Service,Ethnicity,E: White and Black African,01 To 18 Weeks,410
Cardiology Service,Ethnicity,E: White and Black African,18 To 52 Weeks,265
Cardiology Service,Ethnicity,E: White and Black African,Over 52 Weeks,*
Cardiology Service,Ethnicity,E: White and Black African,Total,680
Cardiology Service,Ethnicity,F: White and Asian,01 To 18 Weeks,585
Cardiology Service,Ethnicity,F: White and Asian,18 To 52 Weeks,320
Cardiology Service,Ethnicity,F: White and Asian,Over 52 Weeks,15
Cardiology Service,Ethnicity,F: White and Asian,Total,920
Cardiology Service,Ethnicity,G: Any other mixed background,Unknown Clock Start,*
Cardiology Service,Ethnicity,G: Any other mixed background,01 To 18 Weeks,1250
Cardiology Service,Ethnicity,G: Any other mixed background,18 To 52 Weeks,790
Cardiology Service,Ethnicity,G: Any other mixed background,Over 52 Weeks,40
Cardiology Service,Ethnicity,G: Any other mixed background,Total,2085
Cardiology Service,Ethnicity,H: Indian,Unknown Clock Start,*
Cardiology Service,Ethnicity,H: Indian,01 To 18 Weeks,7265
Cardiology Service,Ethnicity,H: Indian,18 To 52 Weeks,4455
Cardiology Service,Ethnicity,H: Indian,Over 52 Weeks,225
Cardiology Service,Ethnicity,H: Indian,Total,11950
Cardiology Service,Ethnicity,J: Pakistani,Unknown Clock Start,*
Cardiology Service,Ethnicity,J: Pakistani,01 To 18 Weeks,5485
Cardiology Service,Ethnicity,J: Pakistani,18 To 52 Weeks,3015
Cardiology Service,Ethnicity,J: Pakistani,Over 52 Weeks,130
Cardiology Service,Ethnicity,J: Pakistani,Total,8630
Cardiology Service,Ethnicity,K: Bangladeshi,01 To 18 Weeks,2115
Cardiology Service,Ethnicity,K: Bangladeshi,18 To 52 Weeks,1070
Cardiology Service,Ethnicity,K: Bangladeshi,Over 52 Weeks,45
Cardiology Service,Ethnicity,K: Bangladeshi,Total,3230
Cardiology Service,Ethnicity,L: Any other Asian background,Unknown Clock Start,15
Cardiology Service,Ethnicity,L: Any other Asian background,01 To 18 Weeks,5540
Cardiology Service,Ethnicity,L: Any other Asian background,18 To 52 Weeks,3070
Cardiology Service,Ethnicity,L: Any other Asian background,Over 52 Weeks,130
Cardiology Service,Ethnicity,L: Any other Asian background,Total,8755
Cardiology Service,Ethnicity,M: Caribbean,Unknown Clock Start,*
Cardiology Service,Ethnicity,M: Caribbean,01 To 18 Weeks,2790
Cardiology Service,Ethnicity,M: Caribbean,18 To 52 Weeks,1785
Cardiology Service,Ethnicity,M: Caribbean,Over 52 Weeks,90
Cardiology Service,Ethnicity,M: Caribbean,Total,4670
Cardiology Service,Ethnicity,N: African,Unknown Clock Start,*
Cardiology Service,Ethnicity,N: African,01 To 18 Weeks,4160
Cardiology Service,Ethnicity,N: African,18 To 52 Weeks,2600
Cardiology Service,Ethnicity,N: African,Over 52 Weeks,125
Cardiology Service,Ethnicity,N: African,Total,6885
Cardiology Service,Ethnicity,P: Any other Black background,Unknown Clock Start,*
Cardiology Service,Ethnicity,P: Any other Black background,01 To 18 Weeks,2005
Cardiology Service,Ethnicity,P: Any other Black background,18 To 52 Weeks,1280
Cardiology Service,Ethnicity,P: Any other Black background,Over 52 Weeks,45
Cardiology Service,Ethnicity,P: Any other Black background,Total,3330
Cardiology Service,Ethnicity,R: Chinese,01 To 18 Weeks,920
Cardiology Service,Ethnicity,R: Chinese,18 To 52 Weeks,570
Cardiology Service,Ethnicity,R: Chinese,Over 52 Weeks,30
Cardiology Service,Ethnicity,R: Chinese,Total,1520
Cardiology Service,Ethnicity,S: Any other ethnic group,Unknown Clock Start,*
Cardiology Service,Ethnicity,S: Any other ethnic group,01 To 18 Weeks,2375
Cardiology Service,Ethnicity,S: Any other ethnic group,18 To 52 Weeks,1510
Cardiology Service,Ethnicity,S: Any other ethnic group,Over 52 Weeks,65
Cardiology Service,Ethnicity,S: Any other ethnic group,Total,3950
Cardiology Service,Ethnicity,Z: Not stated,Unknown Clock Start,*
Cardiology Service,Ethnicity,Z: Not stated,01 To 18 Weeks,9450
Cardiology Service,Ethnicity,Z: Not stated,18 To 52 Weeks,5800
Cardiology Service,Ethnicity,Z: Not stated,Over 52 Weeks,265
Cardiology Service,Ethnicity,Z: Not stated,Total,15525
Cardiology Service,IMD,1,Unknown Clock Start,*
Cardiology Service,IMD,1,01 To 18 Weeks,20870
Cardiology Service,IMD,1,18 To 52 Weeks,12240
Cardiology Service,IMD,1,Over 52 Weeks,655
Cardiology Service,IMD,1,Total,33770
Cardiology Service,IMD,10,Unknown Clock Start,55
Cardiology Service,IMD,10,01 To 18 Weeks,23240
Cardiology Service,IMD,10,18 To 52 Weeks,13410
Cardiology Service,IMD,10,Over 52 Weeks,635
Cardiology Service,IMD,10,Total,37345
Cardiology Service,IMD,2,Unknown Clock Start,*
Cardiology Service,IMD,2,01 To 18 Weeks,22320
Cardiology Service,IMD,2,18 To 52 Weeks,13095
Cardiology Service,IMD,2,Over 52 Weeks,710
Cardiology Service,IMD,2,Total,36125
Cardiology Service,IMD,3,Unknown Clock Start,10
Cardiology Service,IMD,3,01 To 18 Weeks,22920
Cardiology Service,IMD,3,18 To 52 Weeks,13700
Cardiology Service,IMD,3,Over 52 Weeks,650
Cardiology Service,IMD,3,Total,37285
Cardiology Service,IMD,4,Unknown Clock Start,15
Cardiology Service,IMD,4,01 To 18 Weeks,24060
Cardiology Service,IMD,4,18 To 52 Weeks,14395
Cardiology Service,IMD,4,Over 52 Weeks,785
Cardiology Service,IMD,4,Total,39255
Cardiology Service,IMD,5,Unknown Clock Start,15
Cardiology Service,IMD,5,01 To 18 Weeks,24275
Cardiology Service,IMD,5,18 To 52 Weeks,14630
Cardiology Service,IMD,5,Over 52 Weeks,790
Cardiology Service,IMD,5,Total,39705
Cardiology Service,IMD,6,Unknown Clock Start,15
Cardiology Service,IMD,6,01 To 18 Weeks,24160
Cardiology Service,IMD,6,18 To 52 Weeks,14500
Cardiology Service,IMD,6,Over 52 Weeks,680
Cardiology Service,IMD,6,Total,39355
Cardiology Service,IMD,7,Unknown Clock Start,15
Cardiology Service,IMD,7,01 To 18 Weeks,23705
Cardiology Service,IMD,7,18 To 52 Weeks,14520
