Code,Name,Geography,Metric,Category,Waiting Bands,Count
ENG,ENGLAND,ENGLAND,Age,0-18 Years,Unknown Clock Start,940
ENG,ENGLAND,ENGLAND,Age,0-18 Years,01 To 18 Weeks,429190
ENG,ENGLAND,ENGLAND,Age,0-18 Years,18 To 52 Weeks,280265
ENG,ENGLAND,ENGLAND,Age,0-18 Years,Over 52 Weeks,15875
ENG,ENGLAND,ENGLAND,Age,0-18 Years,Total,726270
ENG,ENGLAND,ENGLAND,Age,19-64 Years,Unknown Clock Start,5170
ENG,ENGLAND,ENGLAND,Age,19-64 Years,01 To 18 Weeks,2312175
ENG,ENGLAND,ENGLAND,Age,19-64 Years,18 To 52 Weeks,1500840
ENG,ENGLAND,ENGLAND,Age,19-64 Years,Over 52 Weeks,97450
ENG,ENGLAND,ENGLAND,Age,19-64 Years,Total,3915635
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,Unknown Clock Start,3490
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,01 To 18 Weeks,1498830
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,18 To 52 Weeks,792240
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,Over 52 Weeks,45480
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,Total,2340035
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,Unknown Clock Start,65
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,01 To 18 Weeks,152730
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,18 To 52 Weeks,76700
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,Over 52 Weeks,4195
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,Total,233690
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,Unknown Clock Start,6950
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,01 To 18 Weeks,3023240
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,18 To 52 Weeks,1799045
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,Over 52 Weeks,114905
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,Total,4944150
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,Unknown Clock Start,80
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,01 To 18 Weeks,25810
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,18 To 52 Weeks,14800
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,Over 52 Weeks,840
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,Total,41530
ENG,ENGLAND,ENGLAND,Ethnicity,C: Any other white background,Unknown Clock Start,635
ENG,ENGLAND,ENGLAND,Ethnicity,C: Any other white background,01 To 18 Weeks,259625
ENG,ENGLAND,ENGLAND,Ethnicity,C: Any other white background,18 To 52 Weeks,167150
ENG,ENGLAND,ENGLAND,Ethnicity,C: Any other white background,Over 52 Weeks,9990
ENG,ENGLAND,ENGLAND,Ethnicity,C: Any other white background,Total,437400
ENG,ENGLAND,ENGLAND,Ethnicity,D: White and Black Caribbean,Unknown Clock Start,40
ENG,ENGLAND,ENGLAND,Ethnicity,D: White and Black Caribbean,01 To 18 Weeks,17235
