Treatment Function Code,Metric,Category,Waiting Bands,Count
Cardiology Service,Age,0-18 Years,Unknown Clock Start,*
Cardiology Service,Age,0-18 Years,01 To 18 Weeks,4230
Cardiology Service,Age,0-18 Years,18 To 52 Weeks,2630
Cardiology Service,Age,0-18 Years,Over 52 Weeks,110
Cardiology Service,Age,0-18 Years,Total,6975
Cardiology Service,Age,19-64 Years,Unknown Clock Start,100
Cardiology Service,Age,19-64 Years,01 To 18 Weeks,113525
Cardiology Service,Age,19-64 Years,18 To 52 Weeks,71655
Cardiology Service,Age,19-64 Years,Over 52 Weeks,3195
Cardiology Service,Age,19-64 Years,Total,188475
Cardiology Service,Age,Over 65 Years,Unknown Clock Start,125
Cardiology Service,Age,Over 65 Years,01 To 18 Weeks,116475
Cardiology Service,Age,Over 65 Years,18 To 52 Weeks,64780
Cardiology Service,Age,Over 65 Years,Over 52 Weeks,2485
Cardiology Service,Age,Over 65 Years,Total,183865
Cardiology Service,Ethnicity,99: Not known,Unknown Clock Start,*
Cardiology Service,Ethnicity,99: Not known,01 To 18 Weeks,8980
Cardiology Service,Ethnicity,99: Not known,18 To 52 Weeks,3900
Cardiology Service,Ethnicity,99: Not known,Over 52 Weeks,135
Cardiology Service,Ethnicity,99: Not known,Total,13015
Cardiology Service,Ethnicity,A: British,Unknown Clock Start,175
Cardiology Service,Ethnicity,A: British,01 To 18 Weeks,171280
Cardiology Service,Ethnicity,A: British,18 To 52 Weeks,99350
Cardiology Service,Ethnicity,A: British,Over 52 Weeks,4285
Cardiology Service,Ethnicity,A: British,Total,275090
Cardiology Service,Ethnicity,B: Irish,Unknown Clock Start,*
Cardiology Service,Ethnicity,B: Irish,01 To 18 Weeks,1675
Cardiology Service,Ethnicity,B: Irish,18 To 52 Weeks,1045
Cardiology Service,Ethnicity,B: Irish,Over 52 Weeks,25
Cardiology Service,Ethnicity,B: Irish,Total,2750
Cardiology Service,Ethnicity,C: Any other white background,Unknown Clock Start,10
Cardiology Service,Ethnicity,C: Any other white background,01 To 18 Weeks,13355
Cardiology Service,Ethnicity,C: Any other white background,18 To 52 Weeks,8775
Cardiology Service,Ethnicity,C: Any other white background,Over 52 Weeks,320
Cardiology Service,Ethnicity,C: Any other white background,Total,22465
Cardiology Service,Ethnicity,D: White and Black Caribbean,01 To 18 Weeks,600
Cardiology Service,Ethnicity,D: White and Black Caribbean,18 To 52 Weeks,385
Cardiology Service,Ethnicity,D: White and Black Caribbean,Over 52 Weeks,10
Cardiology Service,Ethnicity,D: White and Black Caribbean,Total,1000
Cardiology Service,Ethnicity,E: White and Black African,01 To 18 Weeks,400
Cardiology Service,Ethnicity,E: White and Black African,18 To 52 Weeks,255
Cardiology Service,Ethnicity,E: White and Black African,Over 52 Weeks,*
Cardiology Service,Ethnicity,E: White and Black African,Total,660
Cardiology Service,Ethnicity,F: White and Asian,Unknown Clock Start,*
Cardiology Service,Ethnicity,F: White and Asian,01 To 18 Weeks,565
Cardiology Service,Ethnicity,F: White and Asian,18 To 52 Weeks,325
Cardiology Service,Ethnicity,F: White and Asian,Over 52 Weeks,10
Cardiology Service,Ethnicity,F: White and Asian,Total,900
Cardiology Service,Ethnicity,G: Any other mixed background,Unknown Clock Start,*
Cardiology Service,Ethnicity,G: Any other mixed background,01 To 18 Weeks,1280
Cardiology Service,Ethnicity,G: Any other mixed background,18 To 52 Weeks,775
Cardiology Service,Ethnicity,G: Any other mixed background,Over 52 Weeks,30
Cardiology Service,Ethnicity,G: Any other mixed background,Total,2085
Cardiology Service,Ethnicity,H: Indian,Unknown Clock Start,*
Cardiology Service,Ethnicity,H: Indian,01 To 18 Weeks,6830
Cardiology Service,Ethnicity,H: Indian,18 To 52 Weeks,4465
Cardiology Service,Ethnicity,H: Indian,Over 52 Weeks,175
Cardiology Service,Ethnicity,H: Indian,Total,11475
Cardiology Service,Ethnicity,J: Pakistani,Unknown Clock Start,*
Cardiology Service,Ethnicity,J: Pakistani,01 To 18 Weeks,5040
Cardiology Service,Ethnicity,J: Pakistani,18 To 52 Weeks,2995
Cardiology Service,Ethnicity,J: Pakistani,Over 52 Weeks,125
Cardiology Service,Ethnicity,J: Pakistani,Total,8165
Cardiology Service,Ethnicity,K: Bangladeshi,Unknown Clock Start,*
Cardiology Service,Ethnicity,K: Bangladeshi,01 To 18 Weeks,1925
Cardiology Service,Ethnicity,K: Bangladeshi,18 To 52 Weeks,1035
Cardiology Service,Ethnicity,K: Bangladeshi,Over 52 Weeks,40
Cardiology Service,Ethnicity,K: Bangladeshi,Total,3000
