Week Ending Date,Metric,Category,Waiting Bands,Count
19/09/2021,Age,0-18 Years,Unknown Clock Start,795
19/09/2021,Age,0-18 Years,01 To 18 Weeks,389905
19/09/2021,Age,0-18 Years,18 To 52 Weeks,161425
19/09/2021,Age,0-18 Years,Over 52 Weeks,26650
19/09/2021,Age,0-18 Years,Total,578775
19/09/2021,Age,19-64 Years,Unknown Clock Start,7805
19/09/2021,Age,19-64 Years,01 To 18 Weeks,1810570
19/09/2021,Age,19-64 Years,18 To 52 Weeks,912125
19/09/2021,Age,19-64 Years,Over 52 Weeks,168610
19/09/2021,Age,19-64 Years,Total,2899110
19/09/2021,Age,Over 65 Years,Unknown Clock Start,4225
19/09/2021,Age,Over 65 Years,01 To 18 Weeks,1175730
19/09/2021,Age,Over 65 Years,18 To 52 Weeks,484950
19/09/2021,Age,Over 65 Years,Over 52 Weeks,91890
19/09/2021,Age,Over 65 Years,Total,1756795
19/09/2021,Sex,Female,Unknown Clock Start,7520
19/09/2021,Sex,Female,01 To 18 Weeks,1867690
19/09/2021,Sex,Female,18 To 52 Weeks,853555
19/09/2021,Sex,Female,Over 52 Weeks,150655
19/09/2021,Sex,Female,Total,2879420
19/09/2021,Sex,Male,Unknown Clock Start,5235
19/09/2021,Sex,Male,01 To 18 Weeks,1432915
19/09/2021,Sex,Male,18 To 52 Weeks,652590
19/09/2021,Sex,Male,Over 52 Weeks,128335
19/09/2021,Sex,Male,Total,2219075
26/09/2021,Age,0-18 Years,Unknown Clock Start,760
26/09/2021,Age,0-18 Years,01 To 18 Weeks,397145
26/09/2021,Age,0-18 Years,18 To 52 Weeks,169380
26/09/2021,Age,0-18 Years,Over 52 Weeks,27775
26/09/2021,Age,0-18 Years,Total,595055
26/09/2021,Age,19-64 Years,Unknown Clock Start,7935
26/09/2021,Age,19-64 Years,01 To 18 Weeks,1855780
26/09/2021,Age,19-64 Years,18 To 52 Weeks,950375
26/09/2021,Age,19-64 Years,Over 52 Weeks,176050
26/09/2021,Age,19-64 Years,Total,2990140
26/09/2021,Age,Over 65 Years,Unknown Clock Start,4110
26/09/2021,Age,Over 65 Years,01 To 18 Weeks,1193385
26/09/2021,Age,Over 65 Years,18 To 52 Weeks,503565
26/09/2021,Age,Over 65 Years,Over 52 Weeks,96025
26/09/2021,Age,Over 65 Years,Total,1797085
26/09/2021,Sex,Female,Unknown Clock Start,7525
26/09/2021,Sex,Female,01 To 18 Weeks,1907385
26/09/2021,Sex,Female,18 To 52 Weeks,889330
26/09/2021,Sex,Female,Over 52 Weeks,157035
26/09/2021,Sex,Female,Total,2961275
26/09/2021,Sex,Male,Unknown Clock Start,5270
26/09/2021,Sex,Male,01 To 18 Weeks,1462110
26/09/2021,Sex,Male,18 To 52 Weeks,679790
26/09/2021,Sex,Male,Over 52 Weeks,134685
26/09/2021,Sex,Male,Total,2281855
03/10/2021,Age,0-18 Years,Unknown Clock Start,925
03/10/2021,Age,0-18 Years,01 To 18 Weeks,393975
03/10/2021,Age,0-18 Years,18 To 52 Weeks,172545
03/10/2021,Age,0-18 Years,Over 52 Weeks,27580
03/10/2021,Age,0-18 Years,Total,595020
03/10/2021,Age,19-64 Years,Unknown Clock Start,9230
03/10/2021,Age,19-64 Years,01 To 18 Weeks,1874305
03/10/2021,Age,19-64 Years,18 To 52 Weeks,964870
03/10/2021,Age,19-64 Years,Over 52 Weeks,176165
03/10/2021,Age,19-64 Years,Total,3024565
03/10/2021,Age,Over 65 Years,Unknown Clock Start,4865
03/10/2021,Age,Over 65 Years,01 To 18 Weeks,1200290
03/10/2021,Age,Over 65 Years,18 To 52 Weeks,511515
03/10/2021,Age,Over 65 Years,Over 52 Weeks,95655
03/10/2021,Age,Over 65 Years,Total,1812325
03/10/2021,Sex,Female,Unknown Clock Start,8770
03/10/2021,Sex,Female,01 To 18 Weeks,1920000
03/10/2021,Sex,Female,18 To 52 Weeks,904290
03/10/2021,Sex,Female,Over 52 Weeks,157355
03/10/2021,Sex,Female,Total,2990415
03/10/2021,Sex,Male,Unknown Clock Start,6230
03/10/2021,Sex,Male,01 To 18 Weeks,1470800
03/10/2021,Sex,Male,18 To 52 Weeks,689245
