Code,Name,Geography,Metric,Category,Waiting Bands,Count
ENG,ENGLAND,ENGLAND,Age,0-18 Years,Unknown Clock Start,305
ENG,ENGLAND,ENGLAND,Age,0-18 Years,01 To 18 Weeks,424305
ENG,ENGLAND,ENGLAND,Age,0-18 Years,18 To 52 Weeks,270320
ENG,ENGLAND,ENGLAND,Age,0-18 Years,Over 52 Weeks,13785
ENG,ENGLAND,ENGLAND,Age,0-18 Years,Total,708715
ENG,ENGLAND,ENGLAND,Age,19-64 Years,Unknown Clock Start,1880
ENG,ENGLAND,ENGLAND,Age,19-64 Years,01 To 18 Weeks,2218590
ENG,ENGLAND,ENGLAND,Age,19-64 Years,18 To 52 Weeks,1486705
ENG,ENGLAND,ENGLAND,Age,19-64 Years,Over 52 Weeks,87795
ENG,ENGLAND,ENGLAND,Age,19-64 Years,Total,3794970
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,Unknown Clock Start,1585
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,01 To 18 Weeks,1446995
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,18 To 52 Weeks,809855
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,Over 52 Weeks,41610
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,Total,2300050
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,Unknown Clock Start,45
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,01 To 18 Weeks,142755
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,18 To 52 Weeks,75650
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,Over 52 Weeks,3810
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,Total,222260
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,Unknown Clock Start,2665
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,01 To 18 Weeks,2969065
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,18 To 52 Weeks,1846065
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,Over 52 Weeks,106350
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,Total,4924145
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,Unknown Clock Start,30
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,01 To 18 Weeks,24050
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,18 To 52 Weeks,13990
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,Over 52 Weeks,715
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,Total,38780
ENG,ENGLAND,ENGLAND,Ethnicity,C: Any other white background,Unknown Clock Start,275
ENG,ENGLAND,ENGLAND,Ethnicity,C: Any other white background,01 To 18 Weeks,245790
ENG,ENGLAND,ENGLAND,Ethnicity,C: Any other white background,18 To 52 Weeks,156815
ENG,ENGLAND,ENGLAND,Ethnicity,C: Any other white background,Over 52 Weeks,8560
ENG,ENGLAND,ENGLAND,Ethnicity,C: Any other white background,Total,411440
ENG,ENGLAND,ENGLAND,Ethnicity,D: White and Black Caribbean,Unknown Clock Start,15
ENG,ENGLAND,ENGLAND,Ethnicity,D: White and Black Caribbean,01 To 18 Weeks,16590
ENG,ENGLAND,ENGLAND,Ethnicity,D: White and Black Caribbean,18 To 52 Weeks,11080
ENG,ENGLAND,ENGLAND,Ethnicity,D: White and Black Caribbean,Over 52 Weeks,595
ENG,ENGLAND,ENGLAND,Ethnicity,D: White and Black Caribbean,Total,28280
ENG,ENGLAND,ENGLAND,Ethnicity,E: White and Black African,Unknown Clock Start,10
ENG,ENGLAND,ENGLAND,Ethnicity,E: White and Black African,01 To 18 Weeks,9380
ENG,ENGLAND,ENGLAND,Ethnicity,E: White and Black African,18 To 52 Weeks,6030
ENG,ENGLAND,ENGLAND,Ethnicity,E: White and Black African,Over 52 Weeks,320
ENG,ENGLAND,ENGLAND,Ethnicity,E: White and Black African,Total,15740
ENG,ENGLAND,ENGLAND,Ethnicity,F: White and Asian,Unknown Clock Start,*
ENG,ENGLAND,ENGLAND,Ethnicity,F: White and Asian,01 To 18 Weeks,13410
ENG,ENGLAND,ENGLAND,Ethnicity,F: White and Asian,18 To 52 Weeks,8555
ENG,ENGLAND,ENGLAND,Ethnicity,F: White and Asian,Over 52 Weeks,455
ENG,ENGLAND,ENGLAND,Ethnicity,F: White and Asian,Total,22430
ENG,ENGLAND,ENGLAND,Ethnicity,G: Any other mixed background,Unknown Clock Start,45
ENG,ENGLAND,ENGLAND,Ethnicity,G: Any other mixed background,01 To 18 Weeks,32355
ENG,ENGLAND,ENGLAND,Ethnicity,G: Any other mixed background,18 To 52 Weeks,21260
ENG,ENGLAND,ENGLAND,Ethnicity,G: Any other mixed background,Over 52 Weeks,1125
ENG,ENGLAND,ENGLAND,Ethnicity,G: Any other mixed background,Total,54785
ENG,ENGLAND,ENGLAND,Ethnicity,H: Indian,Unknown Clock Start,75
ENG,ENGLAND,ENGLAND,Ethnicity,H: Indian,01 To 18 Weeks,101380
ENG,ENGLAND,ENGLAND,Ethnicity,H: Indian,18 To 52 Weeks,67590
ENG,ENGLAND,ENGLAND,Ethnicity,H: Indian,Over 52 Weeks,3155
ENG,ENGLAND,ENGLAND,Ethnicity,H: Indian,Total,172205
ENG,ENGLAND,ENGLAND,Ethnicity,J: Pakistani,Unknown Clock Start,55
ENG,ENGLAND,ENGLAND,Ethnicity,J: Pakistani,01 To 18 Weeks,94500
ENG,ENGLAND,ENGLAND,Ethnicity,J: Pakistani,18 To 52 Weeks,62680
ENG,ENGLAND,ENGLAND,Ethnicity,J: Pakistani,Over 52 Weeks,2810
ENG,ENGLAND,ENGLAND,Ethnicity,J: Pakistani,Total,160045
