Treatment Function Code,Metric,Category,Waiting Bands,Count
Cardiology Service,Age,0-18 Years,Unknown Clock Start,*
Cardiology Service,Age,0-18 Years,01 To 18 Weeks,4235
Cardiology Service,Age,0-18 Years,18 To 52 Weeks,2470
Cardiology Service,Age,0-18 Years,Over 52 Weeks,120
Cardiology Service,Age,0-18 Years,Total,6825
Cardiology Service,Age,19-64 Years,Unknown Clock Start,85
Cardiology Service,Age,19-64 Years,01 To 18 Weeks,109480
Cardiology Service,Age,19-64 Years,18 To 52 Weeks,69220
Cardiology Service,Age,19-64 Years,Over 52 Weeks,2905
Cardiology Service,Age,19-64 Years,Total,181695
Cardiology Service,Age,Over 65 Years,Unknown Clock Start,105
Cardiology Service,Age,Over 65 Years,01 To 18 Weeks,112905
Cardiology Service,Age,Over 65 Years,18 To 52 Weeks,64240
Cardiology Service,Age,Over 65 Years,Over 52 Weeks,2180
Cardiology Service,Age,Over 65 Years,Total,179435
Cardiology Service,Ethnicity,99: Not known,01 To 18 Weeks,8670
Cardiology Service,Ethnicity,99: Not known,18 To 52 Weeks,3790
Cardiology Service,Ethnicity,99: Not known,Over 52 Weeks,125
Cardiology Service,Ethnicity,99: Not known,Total,12590
Cardiology Service,Ethnicity,A: British,Unknown Clock Start,145
Cardiology Service,Ethnicity,A: British,01 To 18 Weeks,168835
Cardiology Service,Ethnicity,A: British,18 To 52 Weeks,100130
Cardiology Service,Ethnicity,A: British,Over 52 Weeks,3955
Cardiology Service,Ethnicity,A: British,Total,273065
Cardiology Service,Ethnicity,B: Irish,Unknown Clock Start,*
Cardiology Service,Ethnicity,B: Irish,01 To 18 Weeks,1585
Cardiology Service,Ethnicity,B: Irish,18 To 52 Weeks,935
Cardiology Service,Ethnicity,B: Irish,Over 52 Weeks,35
Cardiology Service,Ethnicity,B: Irish,Total,2555
Cardiology Service,Ethnicity,C: Any other white background,Unknown Clock Start,10
Cardiology Service,Ethnicity,C: Any other white background,01 To 18 Weeks,12555
Cardiology Service,Ethnicity,C: Any other white background,18 To 52 Weeks,7860
Cardiology Service,Ethnicity,C: Any other white background,Over 52 Weeks,325
Cardiology Service,Ethnicity,C: Any other white background,Total,20750
Cardiology Service,Ethnicity,D: White and Black Caribbean,01 To 18 Weeks,560
Cardiology Service,Ethnicity,D: White and Black Caribbean,18 To 52 Weeks,365
Cardiology Service,Ethnicity,D: White and Black Caribbean,Over 52 Weeks,10
Cardiology Service,Ethnicity,D: White and Black Caribbean,Total,935
Cardiology Service,Ethnicity,E: White and Black African,01 To 18 Weeks,370
Cardiology Service,Ethnicity,E: White and Black African,18 To 52 Weeks,230
Cardiology Service,Ethnicity,E: White and Black African,Over 52 Weeks,10
Cardiology Service,Ethnicity,E: White and Black African,Total,610
Cardiology Service,Ethnicity,F: White and Asian,01 To 18 Weeks,535
Cardiology Service,Ethnicity,F: White and Asian,18 To 52 Weeks,310
Cardiology Service,Ethnicity,F: White and Asian,Over 52 Weeks,*
Cardiology Service,Ethnicity,F: White and Asian,Total,850
Cardiology Service,Ethnicity,G: Any other mixed background,Unknown Clock Start,*
Cardiology Service,Ethnicity,G: Any other mixed background,01 To 18 Weeks,1240
Cardiology Service,Ethnicity,G: Any other mixed background,18 To 52 Weeks,725
Cardiology Service,Ethnicity,G: Any other mixed background,Over 52 Weeks,30
Cardiology Service,Ethnicity,G: Any other mixed background,Total,2000
Cardiology Service,Ethnicity,H: Indian,Unknown Clock Start,*
Cardiology Service,Ethnicity,H: Indian,01 To 18 Weeks,5770
Cardiology Service,Ethnicity,H: Indian,18 To 52 Weeks,3640
Cardiology Service,Ethnicity,H: Indian,Over 52 Weeks,115
Cardiology Service,Ethnicity,H: Indian,Total,9530
Cardiology Service,Ethnicity,J: Pakistani,Unknown Clock Start,*
Cardiology Service,Ethnicity,J: Pakistani,01 To 18 Weeks,4415
Cardiology Service,Ethnicity,J: Pakistani,18 To 52 Weeks,2750
Cardiology Service,Ethnicity,J: Pakistani,Over 52 Weeks,95
Cardiology Service,Ethnicity,J: Pakistani,Total,7260
Cardiology Service,Ethnicity,K: Bangladeshi,Unknown Clock Start,*
Cardiology Service,Ethnicity,K: Bangladeshi,01 To 18 Weeks,1145
Cardiology Service,Ethnicity,K: Bangladeshi,18 To 52 Weeks,695
Cardiology Service,Ethnicity,K: Bangladeshi,Over 52 Weeks,20
Cardiology Service,Ethnicity,K: Bangladeshi,Total,1865
Cardiology Service,Ethnicity,L: Any other Asian background,Unknown Clock Start,*
Cardiology Service,Ethnicity,L: Any other Asian background,01 To 18 Weeks,4485
Cardiology Service,Ethnicity,L: Any other Asian background,18 To 52 Weeks,2560
Cardiology Service,Ethnicity,L: Any other Asian background,Over 52 Weeks,70
Cardiology Service,Ethnicity,L: Any other Asian background,Total,7125
Cardiology Service,Ethnicity,M: Caribbean,Unknown Clock Start,*
Cardiology Service,Ethnicity,M: Caribbean,01 To 18 Weeks,2355
Cardiology Service,Ethnicity,M: Caribbean,18 To 52 Weeks,1475
Cardiology Service,Ethnicity,M: Caribbean,Over 52 Weeks,40
Cardiology Service,Ethnicity,M: Caribbean,Total,3875
Cardiology Service,Ethnicity,N: African,Unknown Clock Start,*
Cardiology Service,Ethnicity,N: African,01 To 18 Weeks,3555
Cardiology Service,Ethnicity,N: African,18 To 52 Weeks,2345
Cardiology Service,Ethnicity,N: African,Over 52 Weeks,75
Cardiology Service,Ethnicity,N: African,Total,5975
Cardiology Service,Ethnicity,P: Any other Black background,Unknown Clock Start,*
Cardiology Service,Ethnicity,P: Any other Black background,01 To 18 Weeks,1730
Cardiology Service,Ethnicity,P: Any other Black background,18 To 52 Weeks,1145
Cardiology Service,Ethnicity,P: Any other Black background,Over 52 Weeks,25
Cardiology Service,Ethnicity,P: Any other Black background,Total,2905
Cardiology Service,Ethnicity,R: Chinese,Unknown Clock Start,*
Cardiology Service,Ethnicity,R: Chinese,01 To 18 Weeks,810
Cardiology Service,Ethnicity,R: Chinese,18 To 52 Weeks,525
Cardiology Service,Ethnicity,R: Chinese,Over 52 Weeks,30
Cardiology Service,Ethnicity,R: Chinese,Total,1365
Cardiology Service,Ethnicity,S: Any other ethnic group,Unknown Clock Start,*
Cardiology Service,Ethnicity,S: Any other ethnic group,01 To 18 Weeks,2315
Cardiology Service,Ethnicity,S: Any other ethnic group,18 To 52 Weeks,1390
Cardiology Service,Ethnicity,S: Any other ethnic group,Over 52 Weeks,45
Cardiology Service,Ethnicity,S: Any other ethnic group,Total,3755
Cardiology Service,Ethnicity,Z: Not stated,Unknown Clock Start,10
Cardiology Service,Ethnicity,Z: Not stated,01 To 18 Weeks,9790
Cardiology Service,Ethnicity,Z: Not stated,18 To 52 Weeks,5700
Cardiology Service,Ethnicity,Z: Not stated,Over 52 Weeks,195
Cardiology Service,Ethnicity,Z: Not stated,Total,15700
Cardiology Service,IMD,1,Unknown Clock Start,*
Cardiology Service,IMD,1,01 To 18 Weeks,20300
Cardiology Service,IMD,1,18 To 52 Weeks,12005
Cardiology Service,IMD,1,Over 52 Weeks,475
Cardiology Service,IMD,1,Total,32785
Cardiology Service,IMD,10,Unknown Clock Start,65
Cardiology Service,IMD,10,01 To 18 Weeks,23085
Cardiology Service,IMD,10,18 To 52 Weeks,13375
Cardiology Service,IMD,10,Over 52 Weeks,410
Cardiology Service,IMD,10,Total,36935
Cardiology Service,IMD,2,Unknown Clock Start,*
Cardiology Service,IMD,2,01 To 18 Weeks,20245
Cardiology Service,IMD,2,18 To 52 Weeks,12380
Cardiology Service,IMD,2,Over 52 Weeks,495
Cardiology Service,IMD,2,Total,33120
Cardiology Service,IMD,3,Unknown Clock Start,10
Cardiology Service,IMD,3,01 To 18 Weeks,20805
Cardiology Service,IMD,3,18 To 52 Weeks,12600
Cardiology Service,IMD,3,Over 52 Weeks,490
Cardiology Service,IMD,3,Total,33900
Cardiology Service,IMD,4,Unknown Clock Start,15
Cardiology Service,IMD,4,01 To 18 Weeks,22095
Cardiology Service,IMD,4,18 To 52 Weeks,13690
Cardiology Service,IMD,4,Over 52 Weeks,510
Cardiology Service,IMD,4,Total,36315
Cardiology Service,IMD,5,Unknown Clock Start,10
Cardiology Service,IMD,5,01 To 18 Weeks,22765
Cardiology Service,IMD,5,18 To 52 Weeks,13800
Cardiology Service,IMD,5,Over 52 Weeks,560
Cardiology Service,IMD,5,Total,37140
Cardiology Service,IMD,6,Unknown Clock Start,15
Cardiology Service,IMD,6,01 To 18 Weeks,23300
Cardiology Service,IMD,6,18 To 52 Weeks,13690
Cardiology Service,IMD,6,Over 52 Weeks,535
Cardiology Service,IMD,6,Total,37545
Cardiology Service,IMD,7,Unknown Clock Start,20
Cardiology Service,IMD,7,01 To 18 Weeks,23265
Cardiology Service,IMD,7,18 To 52 Weeks,13820
Cardiology Service,IMD,7,Over 52 Weeks,565
Cardiology Service,IMD,7,Total,37675
Cardiology Service,IMD,8,Unknown Clock Start,25
Cardiology Service,IMD,8,01 To 18 Weeks,23240
Cardiology Service,IMD,8,18 To 52 Weeks,13620
Cardiology Service,IMD,8,Over 52 Weeks,515
Cardiology Service,IMD,8,Total,37395
Cardiology Service,IMD,9,Unknown Clock Start,30
Cardiology Service,IMD,9,01 To 18 Weeks,23510
Cardiology Service,IMD,9,18 To 52 Weeks,13735
Cardiology Service,IMD,9,Over 52 Weeks,510
Cardiology Service,IMD,9,Total,37790
Cardiology Service,Sex,Female,Unknown Clock Start,90
Cardiology Service,Sex,Female,01 To 18 Weeks,102545
Cardiology Service,Sex,Female,18 To 52 Weeks,63555
Cardiology Service,Sex,Female,Over 52 Weeks,2495
Cardiology Service,Sex,Female,Total,168685
Cardiology Service,Sex,Male,Unknown Clock Start,110
Cardiology Service,Sex,Male,01 To 18 Weeks,108100
Cardiology Service,Sex,Male,18 To 52 Weeks,63110
Cardiology Service,Sex,Male,Over 52 Weeks,2380
Cardiology Service,Sex,Male,Total,173700
Cardiothoracic Surgery Service,Age,0-18 Years,01 To 18 Weeks,200
Cardiothoracic Surgery Service,Age,0-18 Years,18 To 52 Weeks,140
Cardiothoracic Surgery Service,Age,0-18 Years,Over 52 Weeks,*
Cardiothoracic Surgery Service,Age,0-18 Years,Total,345
Cardiothoracic Surgery Service,Age,19-64 Years,01 To 18 Weeks,4020
Cardiothoracic Surgery Service,Age,19-64 Years,18 To 52 Weeks,1730
Cardiothoracic Surgery Service,Age,19-64 Years,Over 52 Weeks,70
Cardiothoracic Surgery Service,Age,19-64 Years,Total,5820
Cardiothoracic Surgery Service,Age,Over 65 Years,01 To 18 Weeks,5110
Cardiothoracic Surgery Service,Age,Over 65 Years,18 To 52 Weeks,2115
Cardiothoracic Surgery Service,Age,Over 65 Years,Over 52 Weeks,85
Cardiothoracic Surgery Service,Age,Over 65 Years,Total,7310
Cardiothoracic Surgery Service,Ethnicity,99: Not known,01 To 18 Weeks,185
Cardiothoracic Surgery Service,Ethnicity,99: Not known,18 To 52 Weeks,80
Cardiothoracic Surgery Service,Ethnicity,99: Not known,Over 52 Weeks,*
Cardiothoracic Surgery Service,Ethnicity,99: Not known,Total,265
Cardiothoracic Surgery Service,Ethnicity,A: British,01 To 18 Weeks,7230
Cardiothoracic Surgery Service,Ethnicity,A: British,18 To 52 Weeks,3040
Cardiothoracic Surgery Service,Ethnicity,A: British,Over 52 Weeks,125
Cardiothoracic Surgery Service,Ethnicity,A: British,Total,10395
Cardiothoracic Surgery Service,Ethnicity,B: Irish,01 To 18 Weeks,60
Cardiothoracic Surgery Service,Ethnicity,B: Irish,18 To 52 Weeks,20
Cardiothoracic Surgery Service,Ethnicity,B: Irish,Total,75
Cardiothoracic Surgery Service,Ethnicity,C: Any other white background,01 To 18 Weeks,460
Cardiothoracic Surgery Service,Ethnicity,C: Any other white background,18 To 52 Weeks,200
Cardiothoracic Surgery Service,Ethnicity,C: Any other white background,Over 52 Weeks,10
Cardiothoracic Surgery Service,Ethnicity,C: Any other white background,Total,670
Cardiothoracic Surgery Service,Ethnicity,D: White and Black Caribbean,01 To 18 Weeks,20
Cardiothoracic Surgery Service,Ethnicity,D: White and Black Caribbean,18 To 52 Weeks,*
Cardiothoracic Surgery Service,Ethnicity,D: White and Black Caribbean,Total,20
Cardiothoracic Surgery Service,Ethnicity,E: White and Black African,01 To 18 Weeks,*
Cardiothoracic Surgery Service,Ethnicity,E: White and Black African,18 To 52 Weeks,*
Cardiothoracic Surgery Service,Ethnicity,E: White and Black African,Total,15
Cardiothoracic Surgery Service,Ethnicity,F: White and Asian,01 To 18 Weeks,20
Cardiothoracic Surgery Service,Ethnicity,F: White and Asian,18 To 52 Weeks,10
Cardiothoracic Surgery Service,Ethnicity,F: White and Asian,Over 52 Weeks,*
Cardiothoracic Surgery Service,Ethnicity,F: White and Asian,Total,30
Cardiothoracic Surgery Service,Ethnicity,G: Any other mixed background,01 To 18 Weeks,45
Cardiothoracic Surgery Service,Ethnicity,G: Any other mixed background,18 To 52 Weeks,15
Cardiothoracic Surgery Service,Ethnicity,G: Any other mixed background,Total,60
Cardiothoracic Surgery Service,Ethnicity,H: Indian,01 To 18 Weeks,220
Cardiothoracic Surgery Service,Ethnicity,H: Indian,18 To 52 Weeks,125
Cardiothoracic Surgery Service,Ethnicity,H: Indian,Over 52 Weeks,*
Cardiothoracic Surgery Service,Ethnicity,H: Indian,Total,345
Cardiothoracic Surgery Service,Ethnicity,J: Pakistani,01 To 18 Weeks,155
Cardiothoracic Surgery Service,Ethnicity,J: Pakistani,18 To 52 Weeks,75
Cardiothoracic Surgery Service,Ethnicity,J: Pakistani,Over 52 Weeks,*
Cardiothoracic Surgery Service,Ethnicity,J: Pakistani,Total,235
Cardiothoracic Surgery Service,Ethnicity,K: Bangladeshi,01 To 18 Weeks,45
Cardiothoracic Surgery Service,Ethnicity,K: Bangladeshi,18 To 52 Weeks,30
Cardiothoracic Surgery Service,Ethnicity,K: Bangladeshi,Total,75
Cardiothoracic Surgery Service,Ethnicity,L: Any other Asian background,01 To 18 Weeks,155
Cardiothoracic Surgery Service,Ethnicity,L: Any other Asian background,18 To 52 Weeks,95
Cardiothoracic Surgery Service,Ethnicity,L: Any other Asian background,Over 52 Weeks,*
Cardiothoracic Surgery Service,Ethnicity,L: Any other Asian background,Total,255
Cardiothoracic Surgery Service,Ethnicity,M: Caribbean,01 To 18 Weeks,70
Cardiothoracic Surgery Service,Ethnicity,M: Caribbean,18 To 52 Weeks,30
Cardiothoracic Surgery Service,Ethnicity,M: Caribbean,Over 52 Weeks,*
Cardiothoracic Surgery Service,Ethnicity,M: Caribbean,Total,105
Cardiothoracic Surgery Service,Ethnicity,N: African,01 To 18 Weeks,115
Cardiothoracic Surgery Service,Ethnicity,N: African,18 To 52 Weeks,50
Cardiothoracic Surgery Service,Ethnicity,N: African,Total,160
Cardiothoracic Surgery Service,Ethnicity,P: Any other Black background,01 To 18 Weeks,45
