Code,Name,Geography,Metric,Category,Waiting Bands,Count
ENG,ENGLAND,ENGLAND,Age,0-18 Years,Unknown Clock Start,250
ENG,ENGLAND,ENGLAND,Age,0-18 Years,01 To 18 Weeks,448445
ENG,ENGLAND,ENGLAND,Age,0-18 Years,18 To 52 Weeks,278850
ENG,ENGLAND,ENGLAND,Age,0-18 Years,Over 52 Weeks,14025
ENG,ENGLAND,ENGLAND,Age,0-18 Years,Total,741565
ENG,ENGLAND,ENGLAND,Age,19-64 Years,Unknown Clock Start,3355
ENG,ENGLAND,ENGLAND,Age,19-64 Years,01 To 18 Weeks,2316250
ENG,ENGLAND,ENGLAND,Age,19-64 Years,18 To 52 Weeks,1556165
ENG,ENGLAND,ENGLAND,Age,19-64 Years,Over 52 Weeks,90265
ENG,ENGLAND,ENGLAND,Age,19-64 Years,Total,3966040
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,Unknown Clock Start,2295
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,01 To 18 Weeks,1487120
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,18 To 52 Weeks,843705
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,Over 52 Weeks,41785
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,Total,2374905
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,Unknown Clock Start,55
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,01 To 18 Weeks,146940
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,18 To 52 Weeks,75755
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,Over 52 Weeks,3760
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,Total,226510
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,Unknown Clock Start,4755
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,01 To 18 Weeks,3012285
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,18 To 52 Weeks,1875630
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,Over 52 Weeks,105430
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,Total,4998100
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,Unknown Clock Start,50
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,01 To 18 Weeks,26030
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,18 To 52 Weeks,15260
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,Over 52 Weeks,725
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,Total,42065
ENG,ENGLAND,ENGLAND,Ethnicity,C: Any other white background,Unknown Clock Start,350
ENG,ENGLAND,ENGLAND,Ethnicity,C: Any other white background,01 To 18 Weeks,266265
ENG,ENGLAND,ENGLAND,Ethnicity,C: Any other white background,18 To 52 Weeks,170835
ENG,ENGLAND,ENGLAND,Ethnicity,C: Any other white background,Over 52 Weeks,9355
ENG,ENGLAND,ENGLAND,Ethnicity,C: Any other white background,Total,446805
ENG,ENGLAND,ENGLAND,Ethnicity,D: White and Black Caribbean,Unknown Clock Start,15
ENG,ENGLAND,ENGLAND,Ethnicity,D: White and Black Caribbean,01 To 18 Weeks,17670
ENG,ENGLAND,ENGLAND,Ethnicity,D: White and Black Caribbean,18 To 52 Weeks,11835
ENG,ENGLAND,ENGLAND,Ethnicity,D: White and Black Caribbean,Over 52 Weeks,600
ENG,ENGLAND,ENGLAND,Ethnicity,D: White and Black Caribbean,Total,30120
ENG,ENGLAND,ENGLAND,Ethnicity,E: White and Black African,Unknown Clock Start,10
ENG,ENGLAND,ENGLAND,Ethnicity,E: White and Black African,01 To 18 Weeks,10075
ENG,ENGLAND,ENGLAND,Ethnicity,E: White and Black African,18 To 52 Weeks,6620
ENG,ENGLAND,ENGLAND,Ethnicity,E: White and Black African,Over 52 Weeks,365
ENG,ENGLAND,ENGLAND,Ethnicity,E: White and Black African,Total,17075
ENG,ENGLAND,ENGLAND,Ethnicity,F: White and Asian,Unknown Clock Start,10
ENG,ENGLAND,ENGLAND,Ethnicity,F: White and Asian,01 To 18 Weeks,14165
ENG,ENGLAND,ENGLAND,Ethnicity,F: White and Asian,18 To 52 Weeks,9255
ENG,ENGLAND,ENGLAND,Ethnicity,F: White and Asian,Over 52 Weeks,475
ENG,ENGLAND,ENGLAND,Ethnicity,F: White and Asian,Total,23905
ENG,ENGLAND,ENGLAND,Ethnicity,G: Any other mixed background,Unknown Clock Start,40
ENG,ENGLAND,ENGLAND,Ethnicity,G: Any other mixed background,01 To 18 Weeks,34825
ENG,ENGLAND,ENGLAND,Ethnicity,G: Any other mixed background,18 To 52 Weeks,22740
ENG,ENGLAND,ENGLAND,Ethnicity,G: Any other mixed background,Over 52 Weeks,1215
ENG,ENGLAND,ENGLAND,Ethnicity,G: Any other mixed background,Total,58825
ENG,ENGLAND,ENGLAND,Ethnicity,H: Indian,Unknown Clock Start,85
ENG,ENGLAND,ENGLAND,Ethnicity,H: Indian,01 To 18 Weeks,117215
ENG,ENGLAND,ENGLAND,Ethnicity,H: Indian,18 To 52 Weeks,79710
ENG,ENGLAND,ENGLAND,Ethnicity,H: Indian,Over 52 Weeks,3625
ENG,ENGLAND,ENGLAND,Ethnicity,H: Indian,Total,200630
ENG,ENGLAND,ENGLAND,Ethnicity,J: Pakistani,Unknown Clock Start,65
ENG,ENGLAND,ENGLAND,Ethnicity,J: Pakistani,01 To 18 Weeks,104770
ENG,ENGLAND,ENGLAND,Ethnicity,J: Pakistani,18 To 52 Weeks,69875
ENG,ENGLAND,ENGLAND,Ethnicity,J: Pakistani,Over 52 Weeks,3080
ENG,ENGLAND,ENGLAND,Ethnicity,J: Pakistani,Total,177790
ENG,ENGLAND,ENGLAND,Ethnicity,K: Bangladeshi,Unknown Clock Start,15
ENG,ENGLAND,ENGLAND,Ethnicity,K: Bangladeshi,01 To 18 Weeks,41455
ENG,ENGLAND,ENGLAND,Ethnicity,K: Bangladeshi,18 To 52 Weeks,27630
ENG,ENGLAND,ENGLAND,Ethnicity,K: Bangladeshi,Over 52 Weeks,1450
ENG,ENGLAND,ENGLAND,Ethnicity,K: Bangladeshi,Total,70555
ENG,ENGLAND,ENGLAND,Ethnicity,L: Any other Asian background,Unknown Clock Start,140
ENG,ENGLAND,ENGLAND,Ethnicity,L: Any other Asian background,01 To 18 Weeks,95230
ENG,ENGLAND,ENGLAND,Ethnicity,L: Any other Asian background,18 To 52 Weeks,62470
ENG,ENGLAND,ENGLAND,Ethnicity,L: Any other Asian background,Over 52 Weeks,3115
ENG,ENGLAND,ENGLAND,Ethnicity,L: Any other Asian background,Total,160950
ENG,ENGLAND,ENGLAND,Ethnicity,M: Caribbean,Unknown Clock Start,30
ENG,ENGLAND,ENGLAND,Ethnicity,M: Caribbean,01 To 18 Weeks,51870
ENG,ENGLAND,ENGLAND,Ethnicity,M: Caribbean,18 To 52 Weeks,32620
ENG,ENGLAND,ENGLAND,Ethnicity,M: Caribbean,Over 52 Weeks,1530
ENG,ENGLAND,ENGLAND,Ethnicity,M: Caribbean,Total,86045
ENG,ENGLAND,ENGLAND,Ethnicity,N: African,Unknown Clock Start,60
ENG,ENGLAND,ENGLAND,Ethnicity,N: African,01 To 18 Weeks,89350
ENG,ENGLAND,ENGLAND,Ethnicity,N: African,18 To 52 Weeks,56930
ENG,ENGLAND,ENGLAND,Ethnicity,N: African,Over 52 Weeks,3100
ENG,ENGLAND,ENGLAND,Ethnicity,N: African,Total,149440
ENG,ENGLAND,ENGLAND,Ethnicity,P: Any other Black background,Unknown Clock Start,55
ENG,ENGLAND,ENGLAND,Ethnicity,P: Any other Black background,01 To 18 Weeks,40380
ENG,ENGLAND,ENGLAND,Ethnicity,P: Any other Black background,18 To 52 Weeks,26110
ENG,ENGLAND,ENGLAND,Ethnicity,P: Any other Black background,Over 52 Weeks,1250
ENG,ENGLAND,ENGLAND,Ethnicity,P: Any other Black background,Total,67795
ENG,ENGLAND,ENGLAND,Ethnicity,R: Chinese,Unknown Clock Start,20
ENG,ENGLAND,ENGLAND,Ethnicity,R: Chinese,01 To 18 Weeks,17550
ENG,ENGLAND,ENGLAND,Ethnicity,R: Chinese,18 To 52 Weeks,11160
ENG,ENGLAND,ENGLAND,Ethnicity,R: Chinese,Over 52 Weeks,535
ENG,ENGLAND,ENGLAND,Ethnicity,R: Chinese,Total,29265
ENG,ENGLAND,ENGLAND,Ethnicity,S: Any other ethnic group,Unknown Clock Start,60
ENG,ENGLAND,ENGLAND,Ethnicity,S: Any other ethnic group,01 To 18 Weeks,49645
ENG,ENGLAND,ENGLAND,Ethnicity,S: Any other ethnic group,18 To 52 Weeks,30815
ENG,ENGLAND,ENGLAND,Ethnicity,S: Any other ethnic group,Over 52 Weeks,1525
ENG,ENGLAND,ENGLAND,Ethnicity,S: Any other ethnic group,Total,82045
ENG,ENGLAND,ENGLAND,Ethnicity,Z: Not stated,Unknown Clock Start,310
ENG,ENGLAND,ENGLAND,Ethnicity,Z: Not stated,01 To 18 Weeks,197785
ENG,ENGLAND,ENGLAND,Ethnicity,Z: Not stated,18 To 52 Weeks,114205
ENG,ENGLAND,ENGLAND,Ethnicity,Z: Not stated,Over 52 Weeks,5955
ENG,ENGLAND,ENGLAND,Ethnicity,Z: Not stated,Total,318260
ENG,ENGLAND,ENGLAND,IMD,1,Unknown Clock Start,405
ENG,ENGLAND,ENGLAND,IMD,1,01 To 18 Weeks,419190
ENG,ENGLAND,ENGLAND,IMD,1,18 To 52 Weeks,274255
ENG,ENGLAND,ENGLAND,IMD,1,Over 52 Weeks,14930
ENG,ENGLAND,ENGLAND,IMD,1,Total,708780
ENG,ENGLAND,ENGLAND,IMD,10,Unknown Clock Start,775
ENG,ENGLAND,ENGLAND,IMD,10,01 To 18 Weeks,379045
ENG,ENGLAND,ENGLAND,IMD,10,18 To 52 Weeks,228985
ENG,ENGLAND,ENGLAND,IMD,10,Over 52 Weeks,12430
ENG,ENGLAND,ENGLAND,IMD,10,Total,621240
ENG,ENGLAND,ENGLAND,IMD,2,Unknown Clock Start,420
ENG,ENGLAND,ENGLAND,IMD,2,01 To 18 Weeks,434715
ENG,ENGLAND,ENGLAND,IMD,2,18 To 52 Weeks,277910
ENG,ENGLAND,ENGLAND,IMD,2,Over 52 Weeks,14770
ENG,ENGLAND,ENGLAND,IMD,2,Total,727815
