Treatment Function Code,Metric,Category,Waiting Bands,Count
Cardiology Service,Age,0-18 Years,Unknown Clock Start,*
Cardiology Service,Age,0-18 Years,01 To 18 Weeks,4520
Cardiology Service,Age,0-18 Years,18 To 52 Weeks,2560
Cardiology Service,Age,0-18 Years,Over 52 Weeks,95
Cardiology Service,Age,0-18 Years,Total,7175
Cardiology Service,Age,19-64 Years,Unknown Clock Start,95
Cardiology Service,Age,19-64 Years,01 To 18 Weeks,117050
Cardiology Service,Age,19-64 Years,18 To 52 Weeks,72100
Cardiology Service,Age,19-64 Years,Over 52 Weeks,2950
Cardiology Service,Age,19-64 Years,Total,192195
Cardiology Service,Age,Over 65 Years,Unknown Clock Start,120
Cardiology Service,Age,Over 65 Years,01 To 18 Weeks,118385
Cardiology Service,Age,Over 65 Years,18 To 52 Weeks,66150
Cardiology Service,Age,Over 65 Years,Over 52 Weeks,2185
Cardiology Service,Age,Over 65 Years,Total,186840
Cardiology Service,Ethnicity,99: Not known,Unknown Clock Start,*
Cardiology Service,Ethnicity,99: Not known,01 To 18 Weeks,9040
Cardiology Service,Ethnicity,99: Not known,18 To 52 Weeks,3810
Cardiology Service,Ethnicity,99: Not known,Over 52 Weeks,155
Cardiology Service,Ethnicity,99: Not known,Total,13010
Cardiology Service,Ethnicity,A: British,Unknown Clock Start,185
Cardiology Service,Ethnicity,A: British,01 To 18 Weeks,173410
Cardiology Service,Ethnicity,A: British,18 To 52 Weeks,100895
Cardiology Service,Ethnicity,A: British,Over 52 Weeks,3760
Cardiology Service,Ethnicity,A: British,Total,278255
Cardiology Service,Ethnicity,B: Irish,Unknown Clock Start,*
Cardiology Service,Ethnicity,B: Irish,01 To 18 Weeks,1780
Cardiology Service,Ethnicity,B: Irish,18 To 52 Weeks,1010
Cardiology Service,Ethnicity,B: Irish,Over 52 Weeks,40
Cardiology Service,Ethnicity,B: Irish,Total,2830
Cardiology Service,Ethnicity,C: Any other white background,Unknown Clock Start,15
Cardiology Service,Ethnicity,C: Any other white background,01 To 18 Weeks,14135
Cardiology Service,Ethnicity,C: Any other white background,18 To 52 Weeks,8565
Cardiology Service,Ethnicity,C: Any other white background,Over 52 Weeks,345
Cardiology Service,Ethnicity,C: Any other white background,Total,23055
Cardiology Service,Ethnicity,D: White and Black Caribbean,01 To 18 Weeks,620
Cardiology Service,Ethnicity,D: White and Black Caribbean,18 To 52 Weeks,385
Cardiology Service,Ethnicity,D: White and Black Caribbean,Over 52 Weeks,15
Cardiology Service,Ethnicity,D: White and Black Caribbean,Total,1025
Cardiology Service,Ethnicity,E: White and Black African,Unknown Clock Start,*
Cardiology Service,Ethnicity,E: White and Black African,01 To 18 Weeks,385
Cardiology Service,Ethnicity,E: White and Black African,18 To 52 Weeks,275
Cardiology Service,Ethnicity,E: White and Black African,Over 52 Weeks,10
Cardiology Service,Ethnicity,E: White and Black African,Total,670
Cardiology Service,Ethnicity,F: White and Asian,01 To 18 Weeks,555
Cardiology Service,Ethnicity,F: White and Asian,18 To 52 Weeks,365
Cardiology Service,Ethnicity,F: White and Asian,Over 52 Weeks,15
Cardiology Service,Ethnicity,F: White and Asian,Total,940
Cardiology Service,Ethnicity,G: Any other mixed background,Unknown Clock Start,*
Cardiology Service,Ethnicity,G: Any other mixed background,01 To 18 Weeks,1330
Cardiology Service,Ethnicity,G: Any other mixed background,18 To 52 Weeks,800
Cardiology Service,Ethnicity,G: Any other mixed background,Over 52 Weeks,25
Cardiology Service,Ethnicity,G: Any other mixed background,Total,2155
Cardiology Service,Ethnicity,H: Indian,Unknown Clock Start,*
Cardiology Service,Ethnicity,H: Indian,01 To 18 Weeks,7080
Cardiology Service,Ethnicity,H: Indian,18 To 52 Weeks,4360
Cardiology Service,Ethnicity,H: Indian,Over 52 Weeks,150
Cardiology Service,Ethnicity,H: Indian,Total,11600
Cardiology Service,Ethnicity,J: Pakistani,Unknown Clock Start,*
Cardiology Service,Ethnicity,J: Pakistani,01 To 18 Weeks,5255
Cardiology Service,Ethnicity,J: Pakistani,18 To 52 Weeks,3125
