Code,Name,Geography,Metric,Category,Waiting Bands,Count
ENG,ENGLAND,ENGLAND,Age,0-18 Years,Unknown Clock Start,205
ENG,ENGLAND,ENGLAND,Age,0-18 Years,01 To 18 Weeks,458360
ENG,ENGLAND,ENGLAND,Age,0-18 Years,18 To 52 Weeks,268365
ENG,ENGLAND,ENGLAND,Age,0-18 Years,Over 52 Weeks,13490
ENG,ENGLAND,ENGLAND,Age,0-18 Years,Total,740420
ENG,ENGLAND,ENGLAND,Age,19-64 Years,Unknown Clock Start,3250
ENG,ENGLAND,ENGLAND,Age,19-64 Years,01 To 18 Weeks,2314670
ENG,ENGLAND,ENGLAND,Age,19-64 Years,18 To 52 Weeks,1512315
ENG,ENGLAND,ENGLAND,Age,19-64 Years,Over 52 Weeks,82275
ENG,ENGLAND,ENGLAND,Age,19-64 Years,Total,3912510
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,Unknown Clock Start,2135
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,01 To 18 Weeks,1483600
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,18 To 52 Weeks,823160
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,Over 52 Weeks,38295
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,Total,2347190
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,Unknown Clock Start,60
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,01 To 18 Weeks,148840
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,18 To 52 Weeks,74015
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,Over 52 Weeks,3365
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,Total,226280
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,Unknown Clock Start,4685
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,01 To 18 Weeks,3020070
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,18 To 52 Weeks,1824815
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,Over 52 Weeks,97510
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,Total,4947085
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,Unknown Clock Start,45
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,01 To 18 Weeks,26185
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,18 To 52 Weeks,14690
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,Over 52 Weeks,660
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,Total,41575
