Treatment Function Code,Metric,Category,Waiting Bands,Count
Cardiology Service,Age,0-18 Years,Unknown Clock Start,*
Cardiology Service,Age,0-18 Years,01 To 18 Weeks,4815
Cardiology Service,Age,0-18 Years,18 To 52 Weeks,2430
Cardiology Service,Age,0-18 Years,Over 52 Weeks,100
Cardiology Service,Age,0-18 Years,Total,7345
Cardiology Service,Age,19-64 Years,Unknown Clock Start,85
Cardiology Service,Age,19-64 Years,01 To 18 Weeks,119275
Cardiology Service,Age,19-64 Years,18 To 52 Weeks,68935
Cardiology Service,Age,19-64 Years,Over 52 Weeks,2625
Cardiology Service,Age,19-64 Years,Total,190920
Cardiology Service,Age,Over 65 Years,Unknown Clock Start,95
Cardiology Service,Age,Over 65 Years,01 To 18 Weeks,120000
Cardiology Service,Age,Over 65 Years,18 To 52 Weeks,62340
Cardiology Service,Age,Over 65 Years,Over 52 Weeks,1870
Cardiology Service,Age,Over 65 Years,Total,184305
Cardiology Service,Ethnicity,99: Not known,Unknown Clock Start,*
Cardiology Service,Ethnicity,99: Not known,01 To 18 Weeks,8985
Cardiology Service,Ethnicity,99: Not known,18 To 52 Weeks,3720
Cardiology Service,Ethnicity,99: Not known,Over 52 Weeks,115
Cardiology Service,Ethnicity,99: Not known,Total,12825
Cardiology Service,Ethnicity,A: British,Unknown Clock Start,145
Cardiology Service,Ethnicity,A: British,01 To 18 Weeks,176425
Cardiology Service,Ethnicity,A: British,18 To 52 Weeks,95230
Cardiology Service,Ethnicity,A: British,Over 52 Weeks,3315
Cardiology Service,Ethnicity,A: British,Total,275115
Cardiology Service,Ethnicity,B: Irish,01 To 18 Weeks,1790
Cardiology Service,Ethnicity,B: Irish,18 To 52 Weeks,960
Cardiology Service,Ethnicity,B: Irish,Over 52 Weeks,30
Cardiology Service,Ethnicity,B: Irish,Total,2785
Cardiology Service,Ethnicity,C: Any other white background,Unknown Clock Start,10
Cardiology Service,Ethnicity,C: Any other white background,01 To 18 Weeks,14660
